"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
592836,"Walker, Taijuan",536,0.92894280762565,452,"72.62084416",0.28917910447761197,0.38716814159292035,0.32649253731343286,0.21902654867256638,0.18470149253731344,"7.363174981",8,20.468459961794146,84,0.15671641791044777,246,0.458955223880597
676664,"Sears, JP",1193,0.9262422360248447,948,"72.558433738",0.29673093042749366,0.33649789029535865,0.2673931265716681,0.16033755274261605,0.12740989103101424,"7.35164399",12,-18.313217228011542,245,0.20536462699077954,495,0.4149203688181056
527048,"Pérez, Martín",886,0.9425531914893617,703,"72.480242415",0.28103837471783294,0.3613086770981508,0.2866817155756208,0.1763869132290185,0.1399548532731377,"7.492870135",5,-7.056479985866484,183,0.20654627539503387,376,0.42437923250564336
682610,"Muñoz, Roddery",609,0.9326186830015314,477,"72.402871724",0.27586206896551724,0.33752620545073375,0.26436781609195403,0.129979035639413,0.10180623973727422,"7.493865698",11,7.333288614348476,132,0.21674876847290642,241,0.3957307060755337
607536,"Freeland, Kyle",738,0.929471032745592,634,"72.397963889",0.2845528455284552,0.334384858044164,0.2872628726287263,0.14511041009463724,0.12466124661246612,"7.433772209",16,-1.9044423667632806,104,0.14092140921409213,321,0.4349593495934959
665795,"Cabrera, Edward",696,0.9121887287024901,517,"72.336710129",0.2686781609195402,0.2862669245647969,0.21264367816091953,0.1450676982591876,0.10775862068965517,"7.418109009",20,-9.084307833300706,179,0.257183908045977,234,0.33620689655172414
608334,"Fulmer, Carson",607,0.9309815950920245,461,"72.31824855",0.27182866556836893,0.3232104121475054,0.24546952224052718,0.1475054229934924,0.11202635914332784,"7.470197759",15,-14.894577236153438,146,0.24052718286655683,229,0.3772652388797364
676710,"Crawford, Kutter",1248,0.9050036258158085,956,"72.2847452",0.2988782051282051,0.301255230125523,0.23076923076923078,0.12866108786610878,0.0985576923076923,"7.397838838",24,-19.86759184136372,292,0.23397435897435898,467,0.37419871794871795
680730,"Parker, Mitchell",1082,0.9061976549413735,852,"72.211545065",0.26802218114602583,0.34507042253521125,0.27171903881700554,0.1396713615023474,0.1099815157116451,"7.407856433",19,-21.18402910166516,230,0.21256931608133087,429,0.39648798521256934
607067,"Rea, Colin",1089,0.937984496124031,898,"72.20890652",0.2662993572084482,0.3518930957683742,0.29017447199265384,0.15924276169265034,0.13131313131313133,"7.308060781",16,-3.317282986758997,191,0.1753902662993572,481,0.44168962350780533
