"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
425794,"Wainwright, Adam","R",1680,138,"45.5",-1.646189608596962,6.228779761904762,-0.07793819943128766,4.633131462683559
425844,"Greinke, Zack","R",2218,118,"43.8",-1.5872130636346138,6.209670874661858,-0.029719410663683457,4.717702325086113
434378,"Verlander, Justin","R",2602,9999,"55.1",-1.2599007399244873,6.99435049961568,0.15037904203677138,4.965253052327772
446372,"Kluber, Corey","R",981,111,"31.4",-2.36973207782961,5.033455657492355,-0.5125595697031476,3.9006609621125814
448179,"Hill, Rich","L",2497,9999,"36.8",2.3107532999056675,5.621806167400881,0.45106115156369464,4.219175573326138
450203,"Morton, Charlie","R",2841,144,"20.2",-2.641282260451314,5.369866244280183,-0.3134400416363147,4.513704099037458
453286,"Scherzer, Max","R",2452,9999,"28.8",-2.399522443930584,5.446039967373572,-0.41601217769771415,4.357206659665943
458681,"Lynn, Lance","R",3164,9999,"32.5",-2.4781184273562795,5.573476611883692,-0.48479360654961906,4.3028618506211815
471911,"Carrasco, Carlos","R",1525,121,"34.8",-2.0759835292720896,5.791704918032787,-0.16599638654627275,4.466081509950031
472610,"García, Luis","R",974,135,"46.0",-1.662532777890816,6.1717145790554415,-0.06837124405670425,4.52287278391476
477132,"Kershaw, Clayton","L",2024,119,"59.1",1.0430616359770828,6.1879743083003955,-0.11702022027999126,4.247542255016452
489119,"Miley, Wade","L",1873,158,"50.3",1.5678005494926246,6.218985584623598,0.11092346493419482,4.464625491433287
489446,"Yates, Kirby","R",1056,144,"20.9",-2.447350445214605,5.323465909090909,-0.4810897209055799,4.571144047594934
493603,"Ottavino, Adam","R",1024,121,"22.8",-2.8403503867885083,5.31892578125,-0.5902789110370711,4.37157937895151
500779,"Quintana, Jose","L",1229,121,"45.7",1.7307176811555662,5.791993490642799,0.17735116161857895,4.197106386799116
502043,"Gibson, Kyle","R",3028,110,"43.8",-1.6851008910555259,6.259554161162484,0.010963485337091483,4.632546094590713
502085,"Robertson, David","R",1054,9999,"42.4",-1.4728911359202672,5.762267552182164,0.06396398847273944,4.359091206827737
502171,"Cobb, Alex","R",2353,137,"40.8",-2.0984021373408663,5.7745091372715684,-0.43923934212250754,4.3423625314291385
502624,"Anderson, Chase","R",1446,9999,"45.8",-1.5109565243585554,5.844854771784233,0.06442865671604993,4.227034140958031
506433,"Darvish, Yu","R",2041,135,"40.1",-1.7988192499378273,5.486918177364037,-0.216912191168392,4.154478009669861
518585,"Cruz, Fernando","R",1119,113,"43.3",-1.734723208738003,5.9392135835567474,-0.13374199517649288,4.426589790349481
518617,"Diekman, Jake","L",981,9999,"20.2",2.820630605302374,5.46361875637105,0.5224117290007468,4.617888830198004
518876,"Kelly, Merrill","R",2802,109,"26.9",-2.1816730654051764,5.511937901498929,-0.21629096914477944,4.5138862277835665
518886,"Kimbrel, Craig","R",1120,143,"25.2",-2.1765020242220454,4.808107142857143,-0.36637540067163227,3.9552632721384007
519151,"Pressly, Ryan","R",1024,117,"59.4",-0.8739558000173919,5.97228515625,0.3137451318098262,3.9594077458291554
519242,"Sale, Chris","L",1580,111,"13.2",3.1233243995724944,5.23690506329114,0.8054001561971164,4.694257219364156
527048,"Pérez, Martín","L",2170,140,"44.9",1.5990182579722279,5.606188940092166,-0.0267116445698514,3.985164759645794
527054,"Teheran, Julio","R",1080,158,"22.6",-2.6405172366208887,4.931342592592593,-0.6182332650854955,4.090871519442794
542585,"Cisnero, José","R",986,116,"29.2",-2.30721382565736,5.350436105476674,-0.2217619094235518,4.184795102558818
542881,"Anderson, Tyler","L",2430,108,"50.0",1.344707306870348,6.276127572016461,-0.07938721015529294,4.571133868862921
543037,"Cole, Gerrit","R",3279,147,"42.1",-1.7204050883057342,5.924303141201586,-0.07347875982797678,4.436434745468788
543101,"DeSclafani, Anthony","R",1547,137,"35.4",-1.799366897864162,5.516224951519069,-0.05772065345266038,4.280993598788754
543135,"Eovaldi, Nathan","R",2232,140,"32.8",-2.6337752039733022,5.522495519713262,-0.6598333902753021,4.2524438219561205
543243,"Gray, Sonny","R",2815,142,"48.2",-1.202845891703312,5.512785079928952,0.2159585011223931,3.92428984049037
543294,"Hendricks, Kyle","R",2107,112,"45.4",-1.7673016813679687,6.069250118652112,-0.05445390710195283,4.331523819506661
