"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Webb, Logan","657277","7.7","33.7","7.9","","24.1","","","","26.6",""
"Rodón, Carlos","607074","41.8","9.6","0.2","28.4","16.2","3.8","","","",""
"Crochet, Garrett","676979","36.2","15.8","27.8","","4.3","","","","15.9",""
"Gallen, Zac","668678","45.0","2.5","5.8","7.2","16.0","23.5","","","",""
"Fried, Max","608331","12.4","17.7","28.0","2.0","11.0","17.3","","","11.5",""
"Kikuchi, Yusei","579328","34.9","1.2","","36.2","12.1","15.4","","","0.2",""
"Peralta, Freddy","642547","53.5","","","9.4","21.2","15.8","","","",""
"Ray, Robbie","592662","52.0","","","22.5","13.0","12.1","","","0.4",""
"Cease, Dylan","656302","42.1","3.9","","41.0","1.1","8.3","","","3.5",""
"Gausman, Kevin","592332","53.7","0.1","","8.6","","","37.6","","",""
"Luzardo, Jesús","666200","33.3","10.8","","7.7","17.3","","","","31.0",""
"Skenes, Paul","694973","38.9","10.4","","5.6","10.9","4.8","13.5","","15.8",""
"Castillo, Luis","622491","46.4","21.9","","20.4","11.4","","","","",""
"Bibee, Tanner","676440","27.9","15.2","20.9","","15.2","5.1","","","15.8",""
"Brown, Hunter","686613","37.4","22.7","5.5","4.4","12.0","17.9","","","",""
"Irvin, Jake","663623","32.0","22.2","4.2","4.3","7.7","29.6","","","",""
"Williams, Gavin","668909","37.4","6.6","14.0","","0.1","22.0","","","19.9",""
"Pfaadt, Brandon","694297","23.4","23.4","8.9","","15.7","9.9","","","18.6",""
"Sánchez, Cristopher","650911","","46.0","","16.6","37.4","","","","",""
"Alcantara, Sandy","645261","17.1","25.9","","15.8","23.2","18.0","","","",""
"Valdez, Framber","664285","0.7","45.2","","3.1","17.8","33.1","","","",""
"Keller, Mitch","656605","34.8","17.9","0.1","14.0","6.9","7.3","","","19.1",""
"Pivetta, Nick","601713","48.5","2.3","8.1","0.0","","22.4","0.2","","18.5",""
"Singer, Brady","663903","10.5","40.6","9.4","28.4","","","","","11.1",""
"Skubal, Tarik","669373","29.3","23.9","","12.5","31.4","2.8","0.1","","",""
"Springs, Jeffrey","605488","42.5","","5.7","20.4","25.3","","","","6.1",""
"Kelly, Merrill","518876","22.7","13.5","20.6","7.0","26.6","9.7","","","",""
"Flaherty, Jack","656427","46.9","1.6","","23.6","2.5","25.4","","","",""
"Bassitt, Chris","605135","9.4","41.6","16.9","2.9","2.7","16.1","4.5","","5.9",""
"Gore, MacKenzie","669022","49.3","","4.7","11.8","10.3","24.0","","","",""
"Warren, Will","701542","41.6","21.0","","","9.8","7.0","","","20.6",""
"Ryan, Joe","657746","50.2","12.4","","9.3","","4.0","11.1","","13.0",""
"Yamamoto, Yoshinobu","808967","35.2","7.8","11.1","2.8","","17.6","25.5","","0.0",""
"Littell, Zack","641793","23.8","16.0","","27.5","","","27.3","","5.4",""
"Soriano, José","667755","8.6","49.1","","6.1","0.4","26.6","9.2","","",""
"Holmes, Clay","605280","5.4","40.9","8.3","10.7","15.6","","","","19.0",""
"Boyd, Matthew","571510","47.1","3.0","","14.9","23.7","11.3","","","",""
"Severino, Luis","622663","28.2","20.2","17.5","4.0","5.3","","","","24.8",""
"Pallante, Andre","669467","44.1","13.3","","28.5","","14.0","","","0.1",""
"Baz, Shane","669358","43.9","","14.7","3.0","11.4","26.9","","","",""
"Gray, Sonny","543243","21.7","18.0","12.6","1.6","8.4","18.4","","","19.2",""
"Woo, Bryan","693433","47.1","25.7","","10.1","7.1","","","","9.9",""
"Parker, Mitchell","680730","55.5","","","11.9","","22.0","10.6","","",""
"Peterson, David","656849","22.3","29.6","","19.1","15.3","13.7","","","",""
"Pepiot, Ryan","686752","44.9","2.7","6.9","17.2","25.0","3.3","","","",""
"Kremer, Dean","665152","26.5","19.4","20.2","0.1","","12.8","21.1","","",""
