"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Milner, Hoby","571948","21.5","31.9","","","13.7","","","","32.3","0.6"
"Lambert, Peter","663567","38.4","2.4","1.0","18.8","25.0","3.9","","","","10.5"
"Kelly, Kevin","687330","2.2","61.5","8.4","","","","","","27.9",""
"Cabrera, Génesis","650893","19.3","21.7","39.3","","7.7","12.0","","","",""
"Weissert, Greg","669711","21.4","33.2","1.7","5.7","8.8","","","","29.2",""
"Kittredge, Andrew","552640","12.6","37.3","0.6","49.4","0.1","","","","",""
"Mears, Nick","683232","60.2","","","22.6","","17.2","","","",""
"Yates, Kirby","489446","60.7","","","0.6","","","38.7","","",""
"Miller, Mason","695243","63.1","","","35.0","1.8","","0.2","","",""
"Holmes, Grant","656550","37.3","","8.2","32.3","1.2","21.0","","","",""
"Bednar, David","670280","55.5","","","","","20.4","24.0","","",""
"Barlow, Scott","605130","20.9","12.9","","1.7","","21.0","","","43.4",""
"Suter, Brent","608718","43.1","20.9","","16.2","19.8","","","","",""
"Floro, Dylan","571670","14.2","49.3","","26.9","9.5","","","","",""
"Koenig, Jared","657649","1.2","56.6","25.2","","3.9","13.1","","","",""
"Smyly, Drew","592767","0.3","47.7","3.3","","","48.6","","","",""
"Anderson, Chase","502624","15.2","1.4","33.9","","30.4","4.0","","","15.2",""
"Leiter Jr., Mark","643410","1.5","28.6","7.6","","0.2","16.9","36.1","","9.2",""
"Hancock, Emerson","676106","33.6","28.8","5.9","10.5","21.1","","","","0.1",""
"Herrin, Tim","682120","24.3","12.8","","27.6","","35.3","","","",""
"Neris, Héctor","593576","48.3","7.8","","3.4","","","40.5","","",""
"Cano, Yennier","666974","11.6","50.8","","13.0","24.6","","","","",""
"Faedo, Alex","656412","35.2","5.4","","39.6","19.9","","","","",""
"Jarvis, Bryce","686826","34.6","14.7","12.4","24.0","13.6","0.7","","","",""
"Estrada, Jeremiah","669093","56.4","0.1","","23.6","","","19.8","","",""
"Ottavino, Adam","493603","10.0","33.8","11.0","2.1","5.0","0.8","","","37.4",""
"Sandlin, Nick","680704","29.9","8.8","","34.8","","","26.5","","",""
"Rogers, Tyler","643511","0.6","63.9","","35.5","","","","","",""
"Hoffman, Jeff","656546","36.3","11.0","","40.8","","","12.0","","",""
"Hudson, Daniel","543339","50.3","5.1","","40.9","3.7","","","","",""
"Brebbia, John","605154","48.2","","","51.8","","","","","",""
"Stratton, Chris","608717","37.8","9.2","","20.6","10.0","22.1","","","0.3",""
"Faucher, Calvin","676534","33.2","","37.9","","","22.0","","","6.9",""
"Suarez, José","660761","40.0","8.7","1.1","13.3","24.7","0.3","","","11.9",""
"Clase, Emmanuel","661403","","1.6","77.8","20.5","","","","","",""
"Hill, Tim","657612","26.1","68.7","","5.2","","","","","",""
"Strahm, Matt","621381","53.4","15.3","11.8","19.4","0.1","","","","",""
"Kuhl, Chad","641771","10.0","22.2","9.3","35.6","12.6","","","","10.3",""
"Garrett, Reed","657585","16.8","12.4","23.7","","","","27.1","","19.9",""
"Thompson, Ryan","657044","10.1","64.2","","25.7","","","","","",""
"Stanek, Ryne","592773","59.3","2.8","","16.6","","","21.4","","",""
"Díaz, Alexis","664747","57.9","","","42.1","","","","","",""
"Suarez, Robert","663158","69.5","17.5","0.4","","12.6","","","","",""
"Voth, Austin","608723","23.7","","33.8","","","18.9","","","23.6",""
"Bummer, Aaron","607481","10.0","39.8","5.0","","1.1","2.3","","","41.8",""
"Pressly, Ryan","519151","33.0","2.1","","28.9","11.1","24.9","","","",""
"Meyer, Max","676974","39.6","1.9","","40.6","17.9","","","","0.1",""
"Chafin, Andrew","605177","14.7","39.5","","45.8","","","","","",""
"Boyle, Joe","671212","59.0","","","34.3","","3.7","","","3.0",""
"Kimbrel, Craig","518886","65.7","","","","0.5","28.9","","","4.9",""
"Soto, Gregory","642397","10.9","46.9","0.7","33.5","","","","","7.9",""
"Kelly, Zack","677161","29.9","","21.9","","20.9","","","","27.2",""
"Bender, Anthony","669622","1.9","45.2","2.2","1.6","3.8","","","","45.4",""
"Zerpa, Angel","672582","19.7","43.7","","26.1","10.3","0.2","","","",""
"Muñoz, Andrés","662253","32.3","20.6","","47.1","","","","","",""
"Nicolas, Kyle","693312","55.1","","","22.0","","22.9","","","",""
"Erceg, Lucas","668674","30.9","21.3","","27.9","19.9","","","","",""
"Garcia, Robert","676395","52.7","0.1","","16.0","31.2","","","","",""
"Anderson, Justin","605121","33.1","14.0","7.6","45.3","","","","","",""
"Junis, Jakob","596001","10.0","35.9","0.2","45.2","8.7","","","","",""
"Ferguson, Caleb","657571","43.3","9.8","26.5","","","","","","0.2","20.2"
"Rainey, Tanner","663432","70.9","","","27.7","1.4","","","","",""
"Miller, Tyson","668338","47.3","3.4","","","2.2","3.2","","","43.8",""
"Webb, Jacob","657097","44.3","","","","27.7","","","","28.1",""
"Helsley, Ryan","664854","45.4","","","48.2","","6.3","","","",""
"Alcala, Jorge","660896","43.8","7.7","","38.7","9.8","","","","",""
"Iglesias, Raisel","628452","30.2","18.4","","20.7","30.7","","","","",""
"Hudson, Bryan","663542","52.2","","24.5","","","","","","23.3",""
"Romero, JoJo","668941","9.9","39.0","0.1","33.9","17.1","","","","",""
"Phillips, Evan","623465","36.5","9.9","14.9","","","","","","38.6",""
"Jackson, Luke","592426","31.6","","1.0","52.0","","15.4","","","",""
"Turnbull, Spencer","605513","35.0","12.1","","5.3","5.3","9.0","","","33.2",""
"Johnson, Pierce","572955","24.2","","4.1","","","71.6","","","",""
"Díaz, Edwin","621242","52.1","","","47.9","","","","","",""
"Nardi, Andrew","677053","60.8","","","38.4","0.8","","","","",""
"Harvey, Hunter","640451","62.9","","","4.6","","9.3","23.2","","",""
"Roupp, Landen","694738","2.6","39.6","","4.2","9.4","44.2","","","",""
"Foley, Jason","671345","7.5","55.4","","31.5","5.6","","","","",""
"McArthur, James","663704","9.1","35.7","","21.6","","33.7","","","",""
"Varland, Louis","686973","42.5","3.8","","27.7","10.4","15.5","","","",""
"Brazobán, Huascar","623211","21.7","24.8","24.6","","28.9","","","","",""
"Payamps, Joel","606303","32.7","19.4","","40.3","7.7","","","","",""
"García, Luis","472610","5.4","53.2","1.9","12.9","","","18.5","","8.1",""
"Smith, Burch","572143","50.0","0.2","21.4","","0.8","18.3","","","9.3",""
"Schreiber, John","670167","24.4","26.0","16.5","","6.1","","","","26.9",""
"Martin, Davis","663436","28.5","","17.4","26.8","19.7","7.6","","","",""
"Thielbar, Caleb","573204","43.4","","","0.8","","24.8","","","31.0",""
"Sims, Lucas","608371","31.4","","15.5","2.4","","7.3","0.2","","43.2",""
"Duran, Jhoan","661395","40.7","","","","","27.7","31.4","","0.1",""
"Rodríguez, Randy","678495","48.6","6.0","","39.8","5.6","","","","",""
"Holderman, Colin","670059","0.9","25.8","25.7","","","","","","47.6",""
"Mantiply, Joe","573009","4.6","42.4","","","26.4","26.5","","","",""
"Rodriguez, Eduardo","593958","42.6","8.8","19.2","6.9","22.5","","","","",""
"Mlodzinski, Carmen","669387","39.8","","20.3","26.6","0.3","","","","12.9",""
"Pérez, Cionel","672335","24.2","38.3","","","","0.1","","","","37.4"
"Elder, Bryce","693821","12.4","42.8","0.1","31.4","13.3","","","","",""
"Bernardino, Brennan","657514","","46.6","11.5","6.7","","35.1","","","",""
"Kochanowicz, Jack","686799","6.1","72.6","","14.1","2.9","","","","4.3",""
"Lee, Dylan","669276","33.1","","","54.8","12.1","","","","",""
"King, John","667463","1.4","58.9","","12.0","27.7","","","","",""
"Moore, Matt","519043","50.0","","0.7","","31.7","17.6","","","",""
"Wicks, Jordan","696136","45.1","13.0","","6.0","25.8","6.1","","","4.0",""
"Miller, Shelby","571946","60.6","","","20.6","","","18.8","","",""
"Brown, Ben","676962","62.7","","","","1.6","35.7","","","",""
"Winn, Keaton","676775","26.3","19.2","","13.9","","","40.5","","",""
"Green, Chad","643338","59.9","0.1","0.7","39.3","","","","","",""
"Dubin, Shawn","681869","43.7","0.2","15.8","","15.1","15.8","","","9.3",""
