"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
663776,"Sandoval, Patrick",234,0.45726495726495725,0.5427350427350427,0.23931623931623933,0.2606837606837607,0.042735042735042736,0.41025641025641024,0.3803418803418803,0.2094017094017094,0.24358974358974358,0.1581196581196581,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.15384615384615385
519043,"Moore, Matt",141,0.3120567375886525,0.6879432624113475,0.3049645390070922,0.2198581560283688,0.16312056737588654,0.3617021276595745,0.41134751773049644,0.22695035460992907,0.14184397163120568,0.14184397163120568,0.028368794326241134,0.2198581560283688,0.2695035460992907,0.19858156028368795
608032,"Estévez, Carlos",149,0.3221476510067114,0.6778523489932886,0.3288590604026846,0.2751677852348993,0.0738255033557047,0.33557046979865773,0.3959731543624161,0.2684563758389262,0.1476510067114094,0.12751677852348994,0.04697986577181208,0.18791946308724833,0.2684563758389261,0.2214765100671141
660761,"Suarez, José",153,0.39869281045751637,0.6013071895424835,0.2222222222222222,0.3006535947712418,0.0784313725490196,0.4117647058823529,0.37254901960784315,0.21568627450980393,0.20261437908496732,0.16339869281045752,0.032679738562091505,0.2091503267973856,0.20915032679738563,0.18300653594771243
542881,"Anderson, Tyler",543,0.3830570902394107,0.6169429097605894,0.2946593001841621,0.23756906077348067,0.0847145488029466,0.4990791896869245,0.31307550644567217,0.1878453038674033,0.23388581952117865,0.1289134438305709,0.020257826887661142,0.26519337016574585,0.18416206261510126,0.16758747697974216
472610,"García, Luis",183,0.5027322404371585,0.4972677595628415,0.22404371584699453,0.2185792349726776,0.0546448087431694,0.4371584699453552,0.33879781420765026,0.22404371584699453,0.25136612021857924,0.1912568306010929,0.060109289617486336,0.18579234972677594,0.14754098360655737,0.1639344262295082
667755,"Soriano, José",316,0.6012658227848101,0.3987341772151899,0.15822784810126583,0.21835443037974683,0.022151898734177215,0.35443037974683544,0.4208860759493671,0.22468354430379747,0.2689873417721519,0.25316455696202533,0.07911392405063292,0.08544303797468356,0.16772151898734178,0.14556962025316456
672282,"Detmers, Reid",242,0.39669421487603307,0.6033057851239669,0.3347107438016529,0.2024793388429752,0.06611570247933884,0.45454545454545453,0.2975206611570248,0.24793388429752067,0.23140495867768596,0.11570247933884298,0.049586776859504134,0.22314049586776857,0.18181818181818182,0.19834710743801653
656288,"Canning, Griffin",537,0.4134078212290503,0.5865921787709497,0.29981378026070765,0.22532588454376165,0.061452513966480445,0.40409683426443205,0.35567970204841715,0.24022346368715083,0.21415270018621974,0.16573556797020483,0.0335195530726257,0.1899441340782123,0.1899441340782123,0.20670391061452514
669194,"Nelson, Ryne",464,0.4245689655172414,0.5754310344827587,0.2413793103448276,0.27586206896551724,0.05818965517241379,0.36853448275862066,0.34698275862068967,0.28448275862068967,0.1896551724137931,0.17456896551724138,0.0603448275862069,0.17887931034482757,0.1724137931034483,0.22413793103448276
573009,"Mantiply, Joe",172,0.5406976744186046,0.45930232558139533,0.2558139534883721,0.18023255813953487,0.023255813953488372,0.37790697674418605,0.38372093023255816,0.23837209302325582,0.2616279069767442,0.21511627906976744,0.06395348837209303,0.11627906976744184,0.16860465116279072,0.1744186046511628
518876,"Kelly, Merrill",215,0.42790697674418604,0.5720930232558139,0.29767441860465116,0.23255813953488372,0.04186046511627907,0.4232558139534884,0.34418604651162793,0.23255813953488372,0.2372093023255814,0.13488372093023257,0.05581395348837209,0.18604651162790697,0.20930232558139536,0.17674418604651163
656464,"Ginkel, Kevin",196,0.42857142857142855,0.5714285714285714,0.25510204081632654,0.27040816326530615,0.04591836734693878,0.3520408163265306,0.3877551020408163,0.2602040816326531,0.18877551020408162,0.17346938775510204,0.0663265306122449,0.163265306122449,0.21428571428571427,0.19387755102040816
657044,"Thompson, Ryan",204,0.6274509803921569,0.37254901960784315,0.15196078431372548,0.17647058823529413,0.04411764705882353,0.4362745098039216,0.39215686274509803,0.1715686274509804,0.3137254901960784,0.25,0.06372549019607843,0.12254901960784315,0.14215686274509803,0.10784313725490197
668678,"Gallen, Zac",407,0.4619164619164619,0.5380835380835381,0.23587223587223588,0.257985257985258,0.044226044226044224,0.371007371007371,0.3931203931203931,0.23587223587223588,0.23832923832923833,0.17444717444717445,0.04914004914004914,0.1326781326781327,0.21867321867321865,0.18673218673218675
686826,"Jarvis, Bryce",182,0.42857142857142855,0.5714285714285715,0.2967032967032967,0.24725274725274726,0.027472527472527472,0.3956043956043956,0.31868131868131866,0.2857142857142857,0.22527472527472528,0.15384615384615385,0.04945054945054945,0.1703296703296703,0.1648351648351648,0.23626373626373626
694297,"Pfaadt, Brandon",528,0.42234848484848486,0.5776515151515151,0.2878787878787879,0.22916666666666666,0.06060606060606061,0.42992424242424243,0.3181818181818182,0.2518939393939394,0.25757575757575757,0.10795454545454546,0.056818181818181816,0.17234848484848486,0.2102272727272727,0.19507575757575757
608344,"Irvin, Cole",379,0.40105540897097625,0.5989445910290238,0.29023746701846964,0.2532981530343008,0.055408970976253295,0.40897097625329815,0.34564643799472294,0.24538258575197888,0.21899736147757257,0.13984168865435356,0.04221635883905013,0.18997361477572558,0.20580474934036938,0.20316622691292874
657097,"Webb, Jacob",151,0.3443708609271523,0.6556291390728476,0.31788079470198677,0.23841059602649006,0.09933774834437085,0.3509933774834437,0.3443708609271523,0.304635761589404,0.17218543046357615,0.10596026490066225,0.06622516556291391,0.17880794701986757,0.23841059602649006,0.23841059602649006
