"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
434378,"Verlander, Justin","R",2608,137,"55.2",-1.2552690968938744,7.100084355828221,0.160509351898177,5.057793650074363
450203,"Morton, Charlie","R",2512,9999,"21.1",-2.6282574963473464,5.355453821656051,-0.29067004765716364,4.451435468964656
453286,"Scherzer, Max","R",1390,141,"33.1",-2.1957902932491704,5.626553956834532,-0.29345009797509586,4.383412255799638
477132,"Kershaw, Clayton","L",1768,119,"55.7",1.137604738152653,6.059485294117647,-0.11104481034392366,4.226807536840322
500779,"Quintana, Jose","L",2174,158,"41.6",1.8917294286296595,5.734392824287029,0.2061587727346521,4.238435241560035
506433,"Darvish, Yu","R",1157,135,"30.8",-2.052461424738924,5.333949870354365,-0.30885095689725567,4.303245658681481
518876,"Kelly, Merrill","R",2832,9999,"23.8",-2.295629784385351,5.478255649717514,-0.2608682371446267,4.579793028112632
519242,"Sale, Chris","L",2031,144,"8.3",3.2805820360899385,4.8675529295913345,0.9098423813686435,4.519881097840864
542881,"Anderson, Tyler","L",2333,108,"54.6",1.0876391762643187,6.291513073296185,-0.20769946757099753,4.459138449266626
542888,"Armstrong, Shawn","R",1117,140,"41.0",-1.9183101066702968,5.779785138764548,-0.1846425801540605,4.272659475661348
543135,"Eovaldi, Nathan","R",1918,140,"32.4",-2.6157880945483383,5.401120959332638,-0.6128320231543182,4.126953478584532
543243,"Gray, Sonny","R",2718,138,"47.6",-1.2920980886415414,5.5599521707137605,0.14742550462421908,3.983655176259413
543294,"Hendricks, Kyle","R",2571,108,"42.6",-1.7834868251679208,6.084558537534034,-0.008179262076458173,4.449326292057787
547179,"Lorenzen, Michael","R",2318,118,"41.1",-1.6999019796699855,5.761345987920621,0.04774226521418827,4.232532277425834
554430,"Wheeler, Zack","R",2389,143,"23.2",-2.7022149100472044,5.162699874424446,-0.4378716164924054,4.190970747461814
571510,"Boyd, Matthew","L",2744,112,"25.2",2.5794445768627154,5.458483965014577,0.3463481128490357,4.408286328654839
571578,"Corbin, Patrick","L",2584,140,"36.6",1.8981499122382437,6.171184210526316,0.021672665118679046,4.776591958121554
571760,"Heaney, Andrew","L",2076,9999,"24.6",2.481160598657254,4.805370905587669,0.41086161770716345,3.8550176238756144
571927,"Matz, Steven","L",1159,9999,"34.5",2.005212071920747,5.709637618636756,0.09816965690503984,4.39937297089045
571945,"Mikolas, Miles","R",2480,138,"42.8",-1.971728160742249,6.504350806451613,-0.11477579901242023,4.784091844344776
571948,"Milner, Hoby","L",1157,140,"-6.0",2.9165420529656907,4.1706395851339675,0.703979466534787,4.403394221409786
579328,"Kikuchi, Yusei","L",3094,108,"36.5",1.8951155329191645,5.383448610213316,0.13133432432619283,4.080591543375886
592094,"Adam, Jason","R",1086,135,"37.6",-1.9607060886585532,6.391648250460405,-0.04031304735689687,4.911827985411476
592332,"Gausman, Kevin","R",3030,141,"36.6",-2.034580733679949,5.735277227722772,-0.11835839816334574,4.309230247142361
592454,"Kahnle, Tommy","R",1035,116,"32.6",-2.0173605541467583,5.535101449275363,-0.076846233003522,4.294147377095766
592662,"Ray, Robbie","L",3069,137,"45.7",1.6443389627911822,6.1754610622352555,0.03857949630280147,4.53125368511752
592773,"Stanek, Ryne","R",1063,121,"49.5",-1.2100959434842968,6.498099717779868,0.362788576289149,4.657149636702368
592791,"Taillon, Jameson","R",1979,112,"46.4",-1.5281296346621112,6.15543708943911,0.06442090510971259,4.476874241433447
592836,"Walker, Taijuan","R",2061,143,"40.8",-1.9383719218747801,6.494687045123726,-0.1300896496863489,4.933270419539171
592866,"Williams, Trevor","R",1448,120,"16.3",-2.7420821613939244,4.947203038674033,-0.4924476285441349,4.287036445315193
593958,"Rodriguez, Eduardo","L",2588,109,"40.3",1.9317556425846087,5.909617465224112,0.12998096610711166,4.38319407242945
593974,"Peralta, Wandy","L",1137,135,"45.1",1.495877542922247,6.082656112576957,-0.1507637617052098,4.427998124344485
594798,"deGrom, Jacob","R",2613,140,"31.2",-2.1429133730760084,5.4926406429391506,-0.05274008252989815,4.2238567192830585
595345,"Okert, Steven","L",1049,117,"34.7",2.402291507790581,5.91,0.44175067511882127,4.548802378804022
596001,"Junis, Jakob","R",1032,114,"27.5",-2.297717074277017,5.580077519379845,-0.2629331456666528,4.521326459188327
596133,"Weaver, Luke","R",1049,147,"47.1",-1.3818518636017612,5.586939942802669,0.15689534902096725,3.9297125343889183
596295,"Gomber, Austin","L",999,115,"53.2",1.0658016964696297,6.605875875875876,-0.32967202469849527,4.739223483197993
601713,"Pivetta, Nick","R",2850,135,"56.2",-1.0154707553294051,6.784098245614035,0.2849311597085405,4.840509872220658
605130,"Barlow, Scott","R",1271,113,"22.6",-2.475282293317454,5.201439811172305,-0.3302062638931547,4.307050450401174
605135,"Bassitt, Chris","R",2829,141,"32.0",-2.256179404968115,5.4469247083775185,-0.06211663884809041,4.074209031428375
605280,"Holmes, Clay","R",2671,121,"43.6",-1.7729182748978425,6.464193186072632,0.03223820322724236,4.746152938840694
605288,"Houser, Adrian","R",1864,9999,"36.5",-2.039569987689464,5.723540772532189,-0.13309740280232266,4.311609873922257
605400,"Nola, Aaron","R",1568,143,"19.7",-2.3965203753300024,5.05344387755102,-0.22950912813989233,4.2758933562629595
605483,"Snell, Blake","L",1028,119,"56.0",1.1402111626039582,6.516284046692607,-0.20292376627340006,4.528401990001873
605488,"Springs, Jeffrey","L",2847,133,"43.2",1.6005944590760475,6.075767474534598,-0.015857445464375352,4.556783508424604
606160,"Montero, Rafael","R",1088,9999,"34.0",-1.9323403336471419,5.023005514705883,-0.03589091269529202,3.742429818240799
607067,"Rea, Colin","R",2533,112,"30.4",-2.0784298843964715,5.570505329648638,-0.15512401614200574,4.4414554800695
607074,"Rodón, Carlos","L",3210,147,"44.4",1.800911662174558,6.350417445482866,0.06804086472198623,4.654143873590217
607192,"Glasnow, Tyler","R",1480,119,"56.1",-1.1491685852154245,5.968324324324325,0.18335245989304813,3.9805824629040805
607200,"Fedde, Erick","R",2369,9999,"34.9",-1.9214445156264217,5.823993246095399,0.008885838207265715,4.474031290683509
607259,"Martinez, Nick","R",2576,113,"57.8",-0.8769047581448076,6.180151397515528,0.3221687823844953,4.273989776706137
607455,"Banda, Anthony","L",1065,119,"34.6",2.0317670731263062,5.521286384976526,0.05053408936088307,4.151095658323082
607536,"Freeland, Kyle","L",2478,115,"28.3",2.120838536727372,5.73500403551251,0.11358211152976856,4.654255386258253
607625,"Lugo, Seth","R",2380,118,"31.6",-2.253212180765103,5.5731134453781515,-0.19463728280082085,4.302167883094414
608032,"Estévez, Carlos","R",1043,118,"41.5",-1.6355618823497855,5.969060402684564,0.21224141402747798,4.336124753171555
608331,"Fried, Max","L",3109,147,"46.1",1.5894061802947044,6.017266001929881,-0.09988009805928277,4.265398647133932
608337,"Giolito, Lucas","R",2365,111,"52.1",-1.4697333247488364,6.2975771670190275,0.024789555158600055,4.377825190406742
608372,"Sugano, Tomoyuki","R",2564,110,"40.9",-1.872912126249429,5.994656786271451,-0.16520427804010557,4.516294674966143
608379,"Wacha, Michael","R",2659,118,"50.9",-1.262355206845343,6.5181948100789775,0.18547963382693158,4.733458887717965
608566,"Márquez, Germán","R",2085,115,"40.6",-1.8390911863342372,6.156470023980815,-0.07663212206705224,4.643610724725033
608718,"Suter, Brent","L",1114,113,"51.0",1.3383298064406013,6.086149012567325,0.03699513788214812,4.477006227498344
615698,"Quantrill, Cal","R",2002,9999,"44.6",-1.57148041671127,6.328111888111888,0.16221573471092188,4.620476495563261
621051,"Wilson, Steven","R",974,145,"47.7",-1.6221451627732557,5.866457905544148,-0.13553112832028463,4.232352381436054
621053,"Ferguson, Tyler","R",990,133,"27.7",-2.70450264695096,5.919808080808081,-0.5900902205657286,4.809262170276742
621107,"Eflin, Zach","R",1125,110,"23.8",-2.7327032692463162,5.555591111111111,-0.4756929620122797,4.559148209308774
621111,"Buehler, Walker","R",2188,9999,"42.6",-1.6457124792178688,5.485786106032907,-0.13071399800239192,4.091710927128039
621121,"McCullers Jr., Lance","R",1147,117,"24.8",-2.474049784882574,5.117253705318221,-0.40677339980138844,4.16058728854782
621242,"Díaz, Edwin","R",1067,121,"19.2",-2.817543388132431,4.934367385192128,-0.7362137385208833,4.206977382569284
621244,"Berríos, José","R",2584,141,"38.7",-2.2064635001286974,5.649655572755418,-0.38531114237209096,4.190301211624532
621381,"Strahm, Matt","L",993,143,"30.8",2.158988788946287,5.36877139979859,0.045086662340483204,4.109133922394372
621383,"Banks, Tanner","L",1083,143,"48.2",1.7560271342640832,6.40258541089566,0.16347138510738804,4.620125187264531
622491,"Castillo, Luis","R",2884,136,"15.0",-2.4731698823192914,5.053075589459085,-0.1496611326613611,4.429314794916201
622554,"Domínguez, Seranthony","R",1101,9999,"31.6",-2.0019236816808013,5.597093551316984,-0.05166594661149077,4.400118109286486
622608,"Senzatela, Antonio","R",2283,115,"42.9",-1.9534058028112693,6.105532194480946,-0.2342693237546681,4.509485699344844
622663,"Severino, Luis","R",2731,133,"39.5",-1.5791208572175388,5.936034419626511,0.07143776221516868,4.574834578983886
623211,"Brazobán, Huascar","R",1011,121,"36.4",-2.1461008302207767,5.856913946587537,-0.04011943990436747,4.301571178092674
623437,"Topa, Justin","R",979,142,"10.4",-2.8426950525250314,4.987671092951992,-0.49982722402174723,4.556037463926048
623474,"Herget, Jimmy","R",1281,115,"4.7",-2.9042826692567565,5.08536299765808,-0.5965430114619121,4.891463659949822
624133,"Suárez, Ranger","L",2430,143,"36.9",1.890081026244005,5.805061728395062,0.06746454728842528,4.433989431130477
640455,"Manaea, Sean","L",1095,121,"15.8",3.236799133888225,5.130109589041096,0.9502427205170154,4.481760006592924
641154,"López, Pablo","R",1258,142,"35.4",-2.2013121953481654,5.51956279809221,-0.23147933142327606,4.1200541985836105
641302,"Alexander, Tyler","L",1585,9999,"32.6",2.180624561827637,5.429943217665615,0.22536157115785804,4.176510961498451
641329,"Baker, Bryan","R",1102,9999,"54.3",-1.1400758380372855,6.587994555353902,0.3372282228713957,4.530646170631262
641745,"Keller, Brad","R",1113,112,"47.0",-1.4844976254378246,6.352066486972148,0.15054206781626314,4.59906862168538
641755,"Kinley, Tyler","R",1225,9999,"45.8",-1.4242280871836446,6.51614693877551,0.15805758223289315,4.885044452981193
641778,"Lauer, Eric","L",1682,141,"38.6",1.5977007545069184,6.084964328180737,-0.24978672422271253,4.604150753919555
641793,"Littell, Zack","R",2787,9999,"39.3",-2.0115855248864563,6.122034445640473,-0.2610318489459913,4.686458920107169
641816,"Mahle, Tyler","R",1381,140,"41.1",-1.892631728145067,5.618877624909486,-0.23517343273429442,4.1723585118768725
641927,"Ober, Bailey","R",2354,142,"31.5",-2.359747975721502,5.932812234494477,-0.2361724407350026,4.627110922736284
641941,"Pagán, Emilio","R",1066,113,"42.5",-1.5436632040012226,5.600975609756097,0.15151491975265288,4.048056738252183
642207,"Williams, Devin","R",1115,147,"21.0",-2.443704243265835,5.260448430493273,-0.46971010607259617,4.507891500683437
642232,"Yarbrough, Ryan","L",1017,147,"13.0",3.241339449550072,5.037148475909538,0.9307659005463275,4.503181169319431
642397,"Soto, Gregory","L",1031,9999,"36.0",2.129313712059382,5.656818622696411,0.16750364191351524,4.228785785826543
642547,"Peralta, Freddy","R",3086,158,"38.4",-2.1211873368620857,5.320466623460791,-0.357119044549417,3.9200493286915896
642701,"Santana, Dennis","R",1001,134,"31.9",-2.3949736423246297,5.75975024975025,-0.3330267980682419,4.47391254921549
643377,"Jax, Griffin","R",1092,9999,"43.2",-1.4509927736199657,5.493159340659341,0.21140330388565684,3.930092331443067
645261,"Alcantara, Sandy","R",2891,146,"31.8",-2.3420964718068578,5.954600484261501,-0.14768214703446864,4.591814671014785
647336,"Soroka, Michael","R",1527,9999,"32.8",-2.215811586402778,5.77931892599869,-0.20841015365722404,4.483790314096705
650556,"Abreu, Bryan","R",1188,117,"40.7",-1.8051139939613636,5.636767676767676,-0.04683699682505387,4.1180868863921445
650633,"King, Michael","R",1219,135,"26.6",-2.267994619383855,5.500278917145201,-0.2624817227674126,4.493773769739083
650644,"Civale, Aaron","R",1747,9999,"42.5",-1.4169719247400332,6.278380080137379,0.21343290831137054,4.782495134516314
650911,"Sánchez, Cristopher","L",2893,143,"29.6",2.189838693230404,5.914662979605946,0.17430989203147557,4.768564839556789
656271,"Burke, Brock","L",1014,108,"40.9",1.9252803784356696,6.2934516765285995,0.13739247829847379,4.743578857580328
656288,"Canning, Griffin","R",1343,121,"42.3",-1.6558817060304931,5.757334326135518,-0.008740227003953948,4.2585766355022345
656302,"Cease, Dylan","R",3044,135,"51.3",-1.4154893299678568,6.138521681997372,-0.031027070260071534,4.411051662573404
656427,"Flaherty, Jack","R",2829,116,"27.0",-2.0502590918867196,5.3180240367621066,-0.062488587106168676,4.303888332706392
656546,"Hoffman, Jeff","R",1127,141,"37.2",-1.9090117504234867,5.770292812777285,0.08443732275518902,4.25838289726958
656550,"Holmes, Grant","R",1964,144,"38.8",-1.9732527074453756,5.87337067209776,-0.24766838090077728,4.487358124720912
656605,"Keller, Mitch","R",2870,134,"37.9",-1.769971987077145,5.825606271777003,-0.049653942095685286,4.487432908010211
656641,"Latz, Jacob","L",1386,140,"48.8",1.2196541468733788,5.899805194805195,-0.2804490172285627,4.181204685767788
656731,"Megill, Tylor","R",1231,121,"35.4",-2.111337618670235,5.889642567018684,-0.21945554380233742,4.544645374613918
656794,"Newcomb, Sean","L",1545,9999,"30.6",2.409402862909989,6.003915857605178,0.2200935787342298,4.70645469642167
656849,"Peterson, David","L",2695,121,"40.4",1.8316658458057213,6.114356215213358,-0.058440676402792525,4.504520544647611
