"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abrams, CJ","682928","Nationals","2023","SS","-6",-9,-2,0,-7,0,-3,-6,"73%","75%","-2%"
"Abreu, José","547989","Astros","2023","1B","-5",-6,0,-5,-3,2,0,-6,"73%","74%","-1%"
"Acuña Jr., Ronald","660670","Braves","2023","RF","-6",-7,-3,-2,-2,0,-3,-4,"87%","89%","-2%"
"Adames, Willy","642715","Brewers","2023","SS","12",16,7,4,4,0,10,6,"78%","75%","3%"
"Ahmed, Nick","605113","D-backs","2023","SS","4",6,0,3,3,0,4,2,"77%","74%","3%"
"Albies, Ozzie","645277","Braves","2023","2B","-8",-10,-3,-8,0,0,-9,-1,"75%","77%","-2%"
"Allen, Nick","669397","Athletics","2023","SS","0",1,6,-4,-1,0,-2,2,"72%","72%","0%"
"Alonso, Pete","624413","Mets","2023","1B","0",0,2,-3,-1,1,-2,2,"74%","74%","0%"
"Altuve, Jose","514888","Astros","2023","2B","-2",-3,-2,1,-1,-1,-1,-2,"69%","70%","-1%"
"Anderson, Brian","605119","Brewers","2023","3B","0",0,0,1,-2,1,2,-2,"80%","80%","0%"
"Anderson, Tim","641313","White Sox","2023","SS","-1",-2,-2,1,-1,-1,-2,0,"72%","73%","-1%"
"Andrus, Elvis","462101","White Sox","2023","2B","4",6,2,1,5,-1,1,5,"74%","73%","1%"
"Arcia, Orlando","606115","Braves","2023","SS","3",4,3,3,-1,0,4,0,"75%","74%","1%"
"Arenado, Nolan","571448","Cardinals","2023","3B","4",5,4,0,3,-2,4,2,"66%","64%","2%"
"Arias, Gabriel","672356","Guardians","2023","SS","3",4,2,3,-1,1,2,3,"76%","74%","2%"
"Arozarena, Randy","668227","Rays","2023","LF","-4",-5,1,0,-1,-4,-3,-1,"85%","86%","-1%"
"Arraez, Luis","650333","Marlins","2023","2B","-11",-14,-12,-2,-2,2,-6,-9,"74%","77%","-3%"
"Arroyo, Christian","624414","Red Sox","2023","2B","-2",-3,0,-1,-3,1,-1,-2,"78%","79%","-1%"
"Baddoo, Akil","668731","Tigers","2023","LF","0",0,-2,2,-2,3,-2,2,"88%","88%","0%"
"Bader, Harrison","664056","---","2023","CF","6",7,1,5,2,0,5,2,"95%","92%","3%"
"Bae, Ji Hwan","678225","Pirates","2023","2B","0",0,-3,2,-1,1,-3,2,"78%","78%","0%"
"Baty, Brett","683146","Mets","2023","3B","-3",-4,-4,3,-4,1,-5,1,"66%","67%","-1%"
"Bellinger, Cody","641355","Cubs","2023","CF","2",3,1,2,2,-3,2,1,"84%","84%","0%"
"Benintendi, Andrew","643217","White Sox","2023","LF","-10",-11,-2,-1,-5,-2,-3,-8,"84%","87%","-3%"
"Benson, Will","666181","Reds","2023","RF","-3",-3,-1,1,-3,0,0,-3,"87%","88%","-1%"
