"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Berti, Jon","542932","Marlins","2023","SS","4",5,0,2,3,0,6,-1,"77%","75%","2%"
"Betts, Mookie","605141","Dodgers","2023","2B","-3",-4,-5,-1,2,0,-9,5,"81%","82%","-1%"
"Bichette, Bo","666182","Blue Jays","2023","SS","-2",-3,1,-3,-2,0,-1,-2,"71%","72%","-1%"
"Biggio, Cavan","624415","Blue Jays","2023","2B","-2",-2,-1,-2,-1,0,-1,-1,"74%","75%","-1%"
"Bleday, JJ","668709","Athletics","2023","CF","-3",-3,0,-1,-4,1,-2,-1,"85%","86%","-1%"
"Bogaerts, Xander","593428","Padres","2023","SS","2",3,3,-1,1,0,-1,3,"75%","75%","0%"
"Bohm, Alec","664761","Phillies","2023","3B","-3",-4,-1,-5,2,0,2,-7,"69%","70%","-1%"
"Bregman, Alex","608324","Astros","2023","3B","1",2,9,-7,1,-1,5,-3,"72%","72%","0%"
"Brennan, Will","686823","Guardians","2023","RF","1",2,0,0,1,1,4,-2,"90%","90%","0%"
"Brown, Seth","664913","Athletics","2023","RF","-3",-4,-1,-1,-2,0,-2,-2,"83%","84%","-1%"
"Burger, Jake","669394","---","2023","3B","-7",-9,0,-3,-6,1,-5,-4,"66%","68%","-2%"
"Báez, Javier","595879","Tigers","2023","SS","7",9,1,6,0,1,5,4,"75%","73%","2%"
"Caballero, José","676609","Mariners","2023","2B","6",8,2,3,3,0,5,3,"77%","74%","3%"
"Cabrera, Oswaldo","665828","Yankees","2023","RF","-1",-1,-1,0,0,0,1,-3,"82%","82%","0%"
"Call, Alex","669743","Nationals","2023","CF","7",8,2,4,1,1,3,5,"90%","87%","3%"
"Candelario, Jeimer","600869","---","2023","3B","1",1,0,-4,3,1,1,0,"72%","71%","1%"
"Canha, Mark","592192","---","2023","LF","-1",0,-3,2,0,0,-2,1,"85%","85%","0%"
"Carpenter, Kerry","681481","Tigers","2023","RF","-4",-4,1,-2,-3,0,0,-4,"85%","87%","-2%"
"Carroll, Corbin","682998","D-backs","2023","RF","4",4,1,2,0,1,0,4,"89%","87%","2%"
"Casas, Triston","671213","Red Sox","2023","1B","-8",-10,-1,-5,-3,0,-2,-8,"69%","72%","-3%"
"Castellanos, Nick","592206","Phillies","2023","RF","-4",-4,0,-1,-1,-1,-3,-1,"87%","88%","-1%"
"Castro, Harold","605612","Rockies","2023","2B","-4",-6,1,-6,0,0,-3,-3,"73%","76%","-3%"
"Castro, Rodolfo","666801","---","2023","2B","-5",-6,-1,1,-7,0,-3,-3,"72%","75%","-3%"
"Castro, Willi","650489","Twins","2023","CF","2",3,1,0,1,0,2,1,"82%","81%","1%"
"Chapman, Matt","656305","Blue Jays","2023","3B","3",5,4,0,-2,2,5,0,"75%","74%","1%"
"Chisholm Jr., Jazz","665862","Marlins","2023","CF","4",4,-1,4,1,0,4,0,"88%","86%","2%"
"Colás, Oscar","693049","White Sox","2023","RF","0",0,0,0,-1,0,-1,0,"89%","89%","0%"
"Conforto, Michael","624424","Giants","2023","RF","-2",-2,1,-2,-1,0,0,-2,"83%","84%","-1%"
"Correa, Carlos","621043","Twins","2023","SS","0",1,4,1,-4,-1,7,-6,"76%","76%","0%"
"Crawford, Brandon","543063","Giants","2023","SS","4",6,0,8,-2,0,3,2,"72%","70%","2%"
"Crawford, J.P.","641487","Mariners","2023","SS","-6",-8,1,-10,1,-1,-1,-7,"76%","77%","-1%"
"Cronenworth, Jake","630105","Padres","2023","1B","-1",-1,4,-2,-2,0,1,-2,"74%","74%","0%"
"Davis, J.D.","605204","Giants","2023","3B","4",6,3,0,3,-1,6,0,"69%","67%","2%"
"De La Cruz, Bryan","650559","Marlins","2023","LF","-7",-8,1,0,-8,-1,-3,-5,"84%","86%","-2%"
"De La Cruz, Elly","682829","Reds","2023","SS","3",4,1,-3,3,2,1,3,"75%","74%","1%"
"DeJong, Paul","657557","---","2023","SS","6",8,6,7,-5,0,4,5,"78%","75%","3%"
"Devers, Rafael","646240","Red Sox","2023","3B","-6",-8,-5,1,-3,-2,-5,-3,"68%","69%","-1%"
"Diaz, Jordan","672478","Athletics","2023","3B","-6",-9,-2,-5,0,-2,-9,0,"62%","67%","-5%"
"Donovan, Brendan","680977","Cardinals","2023","2B","-4",-5,-2,-2,0,-2,-4,-1,"70%","73%","-3%"
"Doyle, Brenton","686668","Rockies","2023","CF","12",14,-1,8,4,2,9,4,"94%","91%","3%"
"Drury, Brandon","592273","Angels","2023","2B","4",5,2,1,2,0,1,4,"70%","69%","1%"
"Dubón, Mauricio","643289","Astros","2023","2B","2",2,-1,5,-1,-1,1,2,"80%","79%","1%"
"Duffy, Matt","622110","Royals","2023","3B","-1",-1,1,-3,2,0,0,-1,"72%","73%","-1%"
"Duran, Ezequiel","677649","Rangers","2023","SS","-2",-3,1,-1,-2,-1,-3,0,"73%","74%","-1%"
"Duran, Jarren","680776","Red Sox","2023","CF","-1",-1,0,1,0,-2,0,-1,"90%","91%","-1%"
"Duvall, Adam","594807","Red Sox","2023","CF","-2",-3,-2,0,0,-2,-1,-2,"85%","87%","-2%"
"Díaz, Aledmys","649557","Athletics","2023","SS","-2",-3,-1,-2,1,-1,-2,-1,"67%","68%","-1%"
"Díaz, Yandy","650490","Rays","2023","1B","-4",-6,-2,-5,1,0,-2,-4,"68%","70%","-2%"
"Edman, Tommy","669242","Cardinals","2023","SS","8",9,-1,7,2,1,7,2,"81%","79%","2%"
"Escobar, Eduardo","500871","---","2023","3B","-5",-7,-1,-6,0,0,-6,-1,"65%","68%","-3%"
"Espinal, Santiago","669289","Blue Jays","2023","2B","-3",-4,-2,-1,-1,0,1,-5,"71%","73%","-2%"
"Estrada, Thairo","642731","Giants","2023","2B","14",18,5,7,6,0,8,10,"77%","73%","4%"
"Fairchild, Stuart","656413","Reds","2023","LF","3",3,1,0,1,0,1,2,"90%","88%","2%"
"Farmer, Kyle","571657","Twins","2023","SS","2",2,5,1,-5,1,4,-2,"70%","70%","0%"
"Flores, Wilmer","527038","Giants","2023","1B","-1",-2,2,-5,0,0,-4,2,"73%","74%","-1%"
"France, Ty","664034","Mariners","2023","1B","-1",-1,4,-7,1,1,-1,0,"66%","66%","0%"
"Franco, Wander","677551","Rays","2023","SS","8",11,8,2,0,0,6,5,"80%","77%","3%"
"Frazier, Adam","624428","Orioles","2023","2B","-11",-15,-2,-10,-4,0,-9,-6,"72%","77%","-5%"
"Freeman, Freddie","518692","Dodgers","2023","1B","3",4,-2,2,4,0,-3,7,"72%","71%","1%"
"Freeman, Tyler","671289","Guardians","2023","3B","-1",-2,0,-1,-1,1,-3,1,"66%","67%","-1%"
"Friedl, TJ","670770","Reds","2023","CF","6",6,1,1,3,1,5,1,"92%","90%","2%"
"Gallo, Joey","608336","Twins","2023","LF","-1",-1,1,-1,0,0,-1,0,"83%","83%","0%"
"Garcia, Maikel","672580","Royals","2023","3B","11",15,4,4,8,-1,14,1,"71%","67%","4%"
"García Jr., Luis","671277","Nationals","2023","2B","-3",-4,0,2,-5,-1,-2,-2,"70%","71%","-1%"
"García, Adolis","666969","Rangers","2023","RF","3",3,2,-3,2,1,2,1,"88%","87%","1%"
"Gelof, Zack","680869","Athletics","2023","2B","2",3,2,1,0,1,0,3,"79%","78%","1%"
"Giménez, Andrés","665926","Guardians","2023","2B","13",18,-1,11,7,1,6,12,"78%","75%","3%"
"Goldschmidt, Paul","502671","Cardinals","2023","1B","2",3,2,-2,2,1,0,3,"71%","70%","1%"
"Gorman, Nolan","669357","Cardinals","2023","2B","-2",-3,-2,-2,2,0,-3,0,"73%","74%","-1%"
"Greene, Riley","682985","Tigers","2023","CF","0",0,-1,2,-1,1,2,-3,"90%","90%","0%"
"Grichuk, Randal","545341","---","2023","LF","-6",-6,-1,-2,-2,-1,-6,0,"82%","85%","-3%"
"Grisham, Trent","663757","Padres","2023","CF","6",7,1,5,2,0,5,2,"90%","88%","2%"
"Guerrero Jr., Vladimir","665489","Blue Jays","2023","1B","-10",-13,-2,-9,-2,0,-5,-8,"69%","73%","-4%"
"Gurriel Jr., Lourdes","666971","D-backs","2023","LF","1",2,-2,1,2,0,1,0,"89%","88%","1%"
"Gurriel, Yuli","493329","Marlins","2023","1B","-2",-2,1,-5,2,0,-5,2,"69%","70%","-1%"
"Hampson, Garrett","641658","Marlins","2023","SS","-2",-3,-1,-1,-2,1,-2,-1,"82%","84%","-2%"
"Happ, Ian","664023","Cubs","2023","LF","-6",-7,0,0,-7,0,-6,-1,"85%","88%","-3%"
"Harris II, Michael","671739","Braves","2023","CF","6",6,2,0,2,2,5,1,"89%","87%","2%"
"Hayes, Ke'Bryan","663647","Pirates","2023","3B","13",18,5,5,6,1,15,3,"77%","73%","4%"
"Hays, Austin","669720","Orioles","2023","LF","2",3,1,2,-1,0,2,1,"90%","89%","1%"
"Henderson, Gunnar","683002","Orioles","2023","SS","0",0,3,-2,1,-1,2,-2,"74%","74%","0%"
"Hernández, Enrique","571771","---","2023","SS","-14",-19,-5,-5,-9,0,-18,-1,"74%","78%","-4%"
"Hernández, Teoscar","606192","Mariners","2023","RF","0",0,1,-3,-1,3,-1,1,"86%","86%","0%"
"Heyward, Jason","518792","Dodgers","2023","RF","6",7,1,3,2,0,5,1,"90%","87%","3%"
"Hicks, Aaron","543305","---","2023","CF","-2",-3,-1,-1,-1,0,-2,-1,"85%","87%","-2%"
"Hoerner, Nico","663538","Cubs","2023","2B","11",14,3,5,9,-2,2,12,"76%","74%","2%"
"Ibáñez, Andy","628451","Tigers","2023","2B","2",3,-2,0,4,0,-2,5,"75%","74%","1%"
"India, Jonathan","663697","Reds","2023","2B","-4",-6,1,-5,-1,0,-4,-2,"70%","72%","-2%"
"Isbel, Kyle","664728","Royals","2023","CF","9",10,0,4,5,1,6,5,"91%","87%","4%"
"Jankowski, Travis","608671","Rangers","2023","LF","4",4,3,-1,1,0,1,3,"88%","85%","3%"
"Joe, Connor","656582","Pirates","2023","RF","1",1,2,0,-1,0,3,-2,"82%","81%","1%"
"Jones, Nolan","666134","Rockies","2023","LF","-4",-4,0,-2,-1,0,-1,-3,"84%","86%","-2%"
"Julien, Edouard","666397","Twins","2023","2B","0",0,2,-3,1,0,2,-2,"75%","75%","0%"
"Jung, Josh","673962","Rangers","2023","3B","5",7,3,3,1,-1,6,1,"74%","73%","1%"
"Kelenic, Jarred","672284","Mariners","2023","LF","0",0,0,-1,0,1,2,-2,"90%","90%","0%"
"Kemp, Tony","643393","Athletics","2023","2B","-2",-2,0,0,-1,-1,-3,1,"79%","80%","-1%"
"Kepler, Max","596146","Twins","2023","RF","3",4,1,1,1,1,1,3,"90%","88%","2%"
"Kiermaier, Kevin","595281","Blue Jays","2023","CF","10",11,2,5,5,-1,7,5,"95%","91%","4%"
"Kim, Ha-Seong","673490","Padres","2023","2B","7",9,4,4,0,1,5,4,"75%","74%","1%"
"Kiner-Falefa, Isiah","643396","Yankees","2023","CF","2",2,3,0,-1,0,4,-1,"83%","82%","1%"
"Kirilloff, Alex","666135","Twins","2023","1B","-6",-7,-1,-7,-1,0,0,-7,"66%","70%","-4%"
"Kwan, Steven","680757","Guardians","2023","LF","7",7,1,4,0,3,1,6,"89%","88%","1%"
"Laureano, Ramón","657656","---","2023","RF","1",1,1,0,0,0,2,-2,"87%","87%","0%"
"LeMahieu, DJ","518934","Yankees","2023","3B","1",1,3,-4,4,-2,2,-1,"69%","69%","0%"
"Lindor, Francisco","596019","Mets","2023","SS","5",6,6,6,-5,-1,9,-3,"76%","75%","1%"
"Lopez, Nicky","670032","---","2023","2B","7",9,4,2,2,1,8,1,"77%","73%","4%"
"Lowe, Brandon","664040","Rays","2023","2B","3",4,2,2,1,-2,3,1,"74%","73%","1%"
"Lowe, Josh","666139","Rays","2023","RF","-2",-2,-1,-2,1,0,-3,1,"88%","89%","-1%"
"Lowe, Nathaniel","663993","Rangers","2023","1B","3",5,0,1,4,0,3,2,"74%","72%","2%"
"Machado, Manny","592518","Padres","2023","3B","9",12,5,4,4,-1,11,0,"74%","71%","3%"
"Madrigal, Nick","663611","Cubs","2023","3B","7",9,6,-1,3,2,7,2,"76%","72%","4%"
"Marcano, Tucupita","672779","Pirates","2023","SS","-5",-6,-4,-1,-2,1,-4,-2,"72%","75%","-3%"
"Margot, Manuel","622534","Rays","2023","CF","2",3,0,-2,5,0,3,0,"90%","89%","1%"
"Marsh, Brandon","669016","Phillies","2023","CF","6",7,-1,2,6,0,5,2,"89%","87%","2%"
"Marte, Ketel","606466","D-backs","2023","2B","1",1,-2,5,-2,0,3,-2,"71%","71%","0%"
"Marte, Starling","516782","Mets","2023","RF","-5",-5,0,-4,-1,0,-2,-3,"85%","88%","-3%"
"Massey, Michael","686681","Royals","2023","2B","2",3,1,1,0,1,-2,5,"74%","73%","1%"
"Mateo, Jorge","622761","Orioles","2023","SS","-1",-1,3,2,-4,-2,-2,1,"73%","73%","0%"
"Maton, Nick","665155","Tigers","2023","3B","-8",-11,-1,-5,-4,-1,-12,1,"63%","69%","-6%"
"McCarthy, Jake","664983","D-backs","2023","RF","-1",-1,-2,0,0,1,0,-1,"92%","92%","0%"
"McCormick, Chas","676801","Astros","2023","CF","4",4,-1,3,2,0,0,5,"91%","90%","1%"
"McKinstry, Zach","656716","Tigers","2023","2B","4",5,-2,5,2,0,3,3,"76%","75%","1%"
"McLain, Matt","680574","Reds","2023","SS","2",2,2,-1,1,1,-1,3,"75%","74%","1%"
"McMahon, Ryan","641857","Rockies","2023","3B","6",8,4,2,2,1,7,1,"73%","71%","2%"
"McNeil, Jeff","643446","Mets","2023","2B","3",3,4,-3,1,2,-1,4,"80%","79%","1%"
"Melendez, MJ","669004","Royals","2023","RF","-9",-10,-1,-7,0,-1,-7,-3,"83%","86%","-3%"
"Merrifield, Whit","593160","Blue Jays","2023","2B","-2",-1,-1,6,-5,-1,-3,2,"79%","79%","0%"
"Meyers, Jake","676694","Astros","2023","CF","7",7,0,4,3,1,5,2,"96%","93%","3%"
"Miller, Owen","680911","Brewers","2023","2B","6",8,4,3,1,0,4,4,"76%","73%","3%"
"Monasterio, Andruw","655316","Brewers","2023","3B","0",-1,0,4,-4,-1,-3,2,"72%","73%","-1%"
"Moncada, Yoán","660162","White Sox","2023","3B","0",-1,3,0,-4,1,-3,2,"74%","74%","0%"
"Moniak, Mickey","666160","Angels","2023","CF","3",4,2,1,2,-1,0,3,"91%","89%","2%"
"Montero, Elehuris","660707","Rockies","2023","1B","-4",-6,0,-7,1,1,-3,-3,"63%","66%","-3%"
"Mountcastle, Ryan","663624","Orioles","2023","1B","0",0,0,-6,3,1,0,0,"70%","70%","0%"
"Moustakas, Mike","519058","---","2023","3B","-2",-3,-2,0,-1,0,1,-4,"69%","71%","-2%"
"Mullins, Cedric","656775","Orioles","2023","CF","5",5,-1,3,2,1,0,5,"93%","92%","1%"
"Muncy, Max","571970","Dodgers","2023","3B","-6",-8,-5,-2,-2,1,-8,0,"70%","72%","-2%"
"Naylor, Josh","647304","Guardians","2023","1B","4",5,1,2,2,1,5,0,"78%","76%","2%"
"Neto, Zach","687263","Angels","2023","SS","1",1,-1,5,-4,1,0,1,"77%","76%","1%"
"Newman, Kevin","621028","Reds","2023","SS","-2",-3,-2,-1,0,0,-6,2,"71%","72%","-1%"
"Nimmo, Brandon","607043","Mets","2023","CF","0",1,-2,1,0,1,3,-2,"91%","90%","1%"
"Noda, Ryan","676116","Athletics","2023","1B","-2",-3,0,-2,-4,3,-3,0,"75%","76%","-1%"
"Nootbaar, Lars","663457","Cardinals","2023","CF","3",3,2,1,0,0,2,2,"87%","86%","1%"
"O'Hearn, Ryan","656811","Orioles","2023","1B","3",4,0,-1,3,1,2,2,"74%","72%","2%"
"Olson, Matt","621566","Braves","2023","1B","-3",-4,-2,-2,-1,1,-4,0,"74%","75%","-1%"
"Outman, James","681546","Dodgers","2023","CF","8",9,0,7,2,0,3,5,"92%","89%","3%"
"Paredes, Isaac","670623","Rays","2023","3B","0",0,-1,4,-4,1,2,-2,"70%","70%","0%"
"Peguero, Liover","678894","Pirates","2023","SS","-1",-1,-2,-1,0,1,-1,0,"79%","79%","0%"
"Peralta, David","444482","Dodgers","2023","LF","-2",-2,1,-3,0,0,-1,-2,"88%","89%","-1%"
"Perdomo, Geraldo","672695","D-backs","2023","SS","3",4,7,1,-3,-1,1,3,"74%","73%","1%"
"Peterson, Jace","607054","---","2023","3B","0",0,3,-1,-1,-2,-2,2,"72%","72%","0%"
"Peña, Jeremy","665161","Astros","2023","SS","1",2,2,3,-5,1,-1,2,"76%","75%","1%"
"Pham, Tommy","502054","---","2023","LF","-1",-1,-1,-1,1,0,1,-1,"83%","84%","-1%"
"Polanco, Jorge","593871","Twins","2023","2B","-5",-7,-5,0,-1,-1,-4,-2,"74%","77%","-3%"
"Pratto, Nick","668472","Royals","2023","1B","-4",-5,-1,-5,1,0,-3,-3,"75%","78%","-3%"
"Profar, Jurickson","595777","---","2023","LF","-12",-14,-2,-4,-5,-3,-6,-7,"80%","86%","-6%"
"Raley, Luke","670042","Rays","2023","RF","-1",-1,1,-3,-1,1,2,-3,"79%","80%","-1%"
"Ramírez, José","608070","Guardians","2023","3B","4",6,2,1,4,-2,5,1,"72%","70%","2%"
"Remillard, Zach","621545","White Sox","2023","2B","0",0,2,-2,-1,1,0,1,"73%","73%","0%"
"Renfroe, Hunter","592669","---","2023","RF","-4",-4,1,-1,-3,-1,-2,-2,"83%","85%","-2%"
"Rengifo, Luis","650859","Angels","2023","2B","-7",-10,0,-3,-7,1,-8,-1,"70%","73%","-3%"
"Reynolds, Bryan","668804","Pirates","2023","LF","-3",-3,0,-2,-3,0,-3,-1,"87%","88%","-1%"
"Riley, Austin","663586","Braves","2023","3B","0",0,0,4,-3,-1,3,-3,"74%","74%","0%"
"Rivera, Emmanuel","656896","D-backs","2023","3B","1",1,0,-1,1,1,1,0,"71%","71%","0%"
"Rizzo, Anthony","519203","Yankees","2023","1B","5",7,2,0,4,0,1,6,"76%","74%","2%"
"Robert Jr., Luis","673357","White Sox","2023","CF","11",12,0,8,4,0,7,5,"92%","89%","3%"
"Rodríguez, Julio","677594","Mariners","2023","CF","10",11,-1,4,8,0,8,3,"92%","90%","2%"
"Rojas, Johan","679032","Phillies","2023","CF","7",8,2,1,6,-1,6,1,"97%","92%","5%"
"Rojas, Josh","668942","---","2023","2B","4",6,0,8,-3,1,3,3,"73%","71%","2%"
"Rojas, Miguel","500743","Dodgers","2023","SS","5",6,7,2,-3,1,2,4,"80%","79%","1%"
"Rosario, Amed","642708","---","2023","SS","-10",-14,-7,0,-5,-2,-11,-2,"71%","75%","-4%"
"Rosario, Eddie","592696","Braves","2023","LF","3",3,3,2,-4,2,2,1,"85%","84%","1%"
"Ruiz, Esteury","665923","Athletics","2023","CF","2",2,-1,1,1,1,4,-2,"90%","90%","0%"
"Santana, Carlos","467793","---","2023","1B","2",2,0,-2,2,1,5,-2,"76%","76%","0%"
"Santander, Anthony","623993","Orioles","2023","RF","-1",-1,1,-2,0,0,2,-3,"86%","87%","-1%"
"Schmitt, Casey","669477","Giants","2023","SS","-2",-2,5,-5,-1,-1,0,-3,"71%","72%","-1%"
"Schwarber, Kyle","656941","Phillies","2023","LF","-16",-18,-2,-4,-7,-5,-9,-9,"77%","85%","-8%"
"Seager, Corey","608369","Rangers","2023","SS","1",1,1,1,1,-2,3,-2,"77%","77%","0%"
"Segura, Jean","516416","Marlins","2023","3B","-3",-4,2,-3,-1,-3,-4,0,"64%","65%","-1%"
"Semien, Marcus","543760","Rangers","2023","2B","12",16,4,5,4,2,12,4,"77%","75%","2%"
"Senzel, Nick","669222","Reds","2023","3B","-7",-9,-4,-1,-3,-1,-5,-3,"74%","78%","-4%"
"Short, Zack","670097","Tigers","2023","2B","-3",-4,-1,-5,1,1,-5,1,"77%","79%","-2%"
"Siri, Jose","642350","Rays","2023","CF","8",9,1,2,5,1,5,4,"91%","87%","4%"
"Smith, Dominic","642086","Nationals","2023","1B","1",1,2,0,0,-1,0,1,"73%","73%","0%"
"Smith, Josh","669701","Rangers","2023","SS","-3",-4,1,-4,0,-1,-3,-1,"75%","78%","-3%"
"Solano, Donovan","456781","Twins","2023","1B","-3",-4,-4,-2,2,0,-1,-3,"71%","73%","-2%"
"Sosa, Edmundo","624641","Phillies","2023","3B","2",2,-1,0,1,2,1,2,"74%","73%","1%"
"Sosa, Lenyn","672820","White Sox","2023","2B","-1",-1,0,-3,2,0,-1,0,"72%","72%","0%"
"Soto, Juan","665742","Padres","2023","LF","-6",-7,-1,-4,-1,-2,1,-8,"82%","84%","-2%"
"Springer, George","543807","Blue Jays","2023","RF","2",2,0,-2,2,2,1,1,"88%","87%","1%"
"Steer, Spencer","668715","Reds","2023","1B","-13",-16,-5,-4,-5,-2,-8,-8,"69%","73%","-4%"
"Stott, Bryson","681082","Phillies","2023","2B","13",17,7,5,3,1,9,8,"76%","74%","2%"
"Straw, Myles","664702","Guardians","2023","CF","4",4,0,0,4,1,4,1,"91%","90%","1%"
"Suwinski, Jack","669261","Pirates","2023","CF","2",2,-1,4,0,0,4,-2,"89%","88%","1%"
"Suzuki, Seiya","673548","Cubs","2023","RF","1",1,2,1,-3,2,1,1,"89%","88%","1%"
"Suárez, Eugenio","553993","Mariners","2023","3B","8",11,8,1,1,1,10,1,"73%","71%","2%"
"Swanson, Dansby","621020","Cubs","2023","SS","15",20,11,8,0,0,14,6,"78%","75%","3%"
"Sánchez, Jesús","660821","Marlins","2023","RF","0",0,0,0,2,-3,1,-1,"87%","87%","0%"
"Tatis Jr., Fernando","665487","Padres","2023","RF","8",8,2,-1,4,4,3,5,"91%","88%","3%"
"Tauchman, Mike","643565","Cubs","2023","CF","0",0,0,2,-2,0,2,-2,"88%","88%","0%"
"Taveras, Leody","665750","Rangers","2023","CF","6",7,0,5,1,0,2,4,"91%","89%","2%"
"Taylor, Chris","621035","Dodgers","2023","SS","-2",-2,0,1,-2,-1,1,-3,"77%","78%","-1%"
"Taylor, Michael A.","572191","Twins","2023","CF","7",8,-2,6,4,0,5,3,"92%","90%","2%"
"Thomas, Alek","677950","D-backs","2023","CF","5",5,-2,1,3,4,5,0,"92%","90%","2%"
"Thomas, Lane","657041","Nationals","2023","RF","-3",-4,2,-5,-1,0,0,-4,"86%","87%","-1%"
"Torkelson, Spencer","679529","Tigers","2023","1B","-5",-7,1,-8,0,1,-2,-6,"69%","72%","-3%"
"Torres, Gleyber","650402","Yankees","2023","2B","-3",-4,-1,-3,1,-2,-2,-1,"77%","78%","-1%"
"Tovar, Ezequiel","678662","Rockies","2023","SS","11",15,5,3,6,1,12,3,"73%","70%","3%"
"Trejo, Alan","676701","Rockies","2023","2B","1",2,-2,2,1,1,1,0,"77%","76%","1%"
"Triolo, Jared","669707","Pirates","2023","3B","4",5,3,2,0,1,2,2,"78%","75%","3%"
"Trout, Mike","545361","Angels","2023","CF","4",4,1,1,1,1,2,2,"89%","87%","2%"
"Tucker, Kyle","663656","Astros","2023","RF","-5",-5,0,-5,-1,1,-1,-5,"84%","85%","-1%"
"Turang, Brice","668930","Brewers","2023","2B","0",1,0,1,0,0,-1,2,"78%","78%","0%"
"Turner, Trea","607208","Phillies","2023","SS","-5",-6,0,-5,0,-2,-2,-4,"73%","74%","-1%"
"Urshela, Gio","570482","Angels","2023","3B","0",0,1,0,0,0,1,-1,"71%","71%","0%"
"Urías, Ramón","602104","Orioles","2023","3B","-7",-9,-6,-3,2,-2,-7,-2,"72%","75%","-3%"
"Vargas, Ildemaro","545121","Nationals","2023","3B","1",2,-1,-2,4,1,1,1,"75%","75%","0%"
"Vargas, Miguel","678246","Dodgers","2023","2B","-5",-7,0,-3,-2,-2,-6,-1,"72%","75%","-3%"
"Varsho, Daulton","662139","Blue Jays","2023","LF","9",10,0,4,4,2,5,5,"94%","91%","3%"
"Vaughn, Andrew","683734","White Sox","2023","1B","-4",-6,-1,-6,-1,1,-4,-2,"69%","71%","-2%"
"Verdugo, Alex","657077","Red Sox","2023","RF","1",1,0,-1,1,1,2,-1,"90%","90%","0%"
"Vierling, Matt","663837","Tigers","2023","RF","0",0,2,1,-2,0,1,0,"82%","82%","0%"
"Volpe, Anthony","683011","Yankees","2023","SS","1",1,-1,0,0,2,2,-1,"78%","78%","0%"
"Wade Jr., LaMonte","664774","Giants","2023","1B","-3",-4,1,-4,-2,0,-4,0,"73%","74%","-1%"
