"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
683737,"Busch, Michael",387,0.36175710594315247,0.6382428940568475,0.3695090439276486,0.2351421188630491,0.03359173126614987,0.4418604651162791,0.3281653746770026,0.22997416020671835,0.21963824289405684,0.1111111111111111,0.031007751937984496,0.22222222222222224,0.21705426356589147,0.19896640826873385
663656,"Tucker, Kyle",416,0.3389423076923077,0.6610576923076923,0.3269230769230769,0.2668269230769231,0.0673076923076923,0.4519230769230769,0.3389423076923077,0.2091346153846154,0.20432692307692307,0.10096153846153846,0.03365384615384615,0.24759615384615385,0.23798076923076925,0.17548076923076925
691718,"Crow-Armstrong, Pete",454,0.33480176211453744,0.6651982378854625,0.35462555066079293,0.21585903083700442,0.0947136563876652,0.4889867841409692,0.3039647577092511,0.20704845814977973,0.18722466960352424,0.1145374449339207,0.03303964757709251,0.30176211453744495,0.18942731277533037,0.17400881057268722
673548,"Suzuki, Seiya",415,0.3180722891566265,0.6819277108433736,0.3469879518072289,0.25783132530120484,0.07710843373493977,0.41927710843373495,0.3469879518072289,0.23373493975903614,0.17590361445783131,0.09879518072289156,0.043373493975903614,0.24337349397590363,0.24819277108433735,0.19036144578313252
621020,"Swanson, Dansby",428,0.42289719626168226,0.5771028037383178,0.2733644859813084,0.24532710280373832,0.05841121495327103,0.42289719626168226,0.39953271028037385,0.17757009345794392,0.24532710280373832,0.15654205607476634,0.02102803738317757,0.17757009345794394,0.2429906542056075,0.15654205607476634
807713,"Shaw, Matt",303,0.39603960396039606,0.603960396039604,0.25742574257425743,0.25412541254125415,0.0924092409240924,0.40924092409240925,0.3234323432343234,0.26732673267326734,0.19141914191419143,0.1485148514851485,0.056105610561056105,0.21782178217821782,0.1749174917491749,0.21122112211221122
664023,"Happ, Ian",423,0.3664302600472813,0.6335697399527187,0.2907801418439716,0.26004728132387706,0.08274231678486997,0.408983451536643,0.3380614657210402,0.25295508274231676,0.19858156028368795,0.1347517730496454,0.03309692671394799,0.21040189125295505,0.2033096926713948,0.21985815602836878
608348,"Kelly, Carson",293,0.3822525597269625,0.6177474402730375,0.29692832764505117,0.2354948805460751,0.08532423208191127,0.4300341296928328,0.30716723549488056,0.2627986348122867,0.19112627986348124,0.14334470989761092,0.04778156996587031,0.23890784982935154,0.16382252559726965,0.21501706484641642
606192,"Hernández, Teoscar",382,0.45287958115183247,0.5471204188481675,0.2774869109947644,0.23036649214659685,0.03926701570680628,0.3586387434554974,0.3769633507853403,0.2643979057591623,0.23298429319371727,0.15968586387434555,0.060209424083769635,0.12565445026178013,0.21727748691099477,0.20418848167539264
624424,"Conforto, Michael",300,0.42,0.58,0.3,0.22333333333333333,0.056666666666666664,0.38,0.3466666666666667,0.2733333333333333,0.22,0.16666666666666666,0.03333333333333333,0.16,0.18000000000000002,0.24
660271,"Ohtani, Shohei",426,0.3967136150234742,0.6032863849765258,0.3568075117370892,0.2112676056338028,0.035211267605633804,0.431924882629108,0.3779342723004695,0.19014084507042253,0.2300469483568075,0.1431924882629108,0.023474178403755867,0.2018779342723005,0.2347417840375587,0.16666666666666666
669242,"Edman, Tommy",291,0.4570446735395189,0.5429553264604811,0.24398625429553264,0.24398625429553264,0.054982817869415807,0.4261168384879725,0.35051546391752575,0.22336769759450173,0.24054982817869416,0.16838487972508592,0.048109965635738834,0.18556701030927833,0.18213058419243983,0.1752577319587629
571970,"Muncy, Max",235,0.3148936170212766,0.6851063829787234,0.4085106382978723,0.2297872340425532,0.04680851063829787,0.5148936170212766,0.32340425531914896,0.16170212765957448,0.2,0.11063829787234042,0.00425531914893617,0.31489361702127655,0.21276595744680854,0.1574468085106383
669257,"Smith, Will",278,0.3273381294964029,0.6726618705035972,0.3669064748201439,0.25539568345323743,0.050359712230215826,0.3273381294964029,0.4136690647482014,0.2589928057553957,0.1510791366906475,0.13309352517985612,0.04316546762589928,0.1762589928057554,0.2805755395683453,0.2158273381294964
681624,"Pages, Andy",452,0.35398230088495575,0.6460176991150441,0.3252212389380531,0.2721238938053097,0.048672566371681415,0.40707964601769914,0.3407079646017699,0.252212389380531,0.20575221238938052,0.10619469026548672,0.0420353982300885,0.20132743362831862,0.23451327433628316,0.21017699115044247
694192,"Chourio, Jackson",435,0.42758620689655175,0.5724137931034483,0.2574712643678161,0.2413793103448276,0.0735632183908046,0.3425287356321839,0.3839080459770115,0.2735632183908046,0.19310344827586207,0.17011494252873563,0.06436781609195402,0.14942528735632182,0.21379310344827587,0.20919540229885059
702332,"Durbin, Caleb",402,0.43781094527363185,0.5621890547263682,0.22885572139303484,0.22388059701492538,0.10945273631840796,0.4129353233830846,0.38308457711442784,0.20398009950248755,0.208955223880597,0.17164179104477612,0.05721393034825871,0.20398009950248758,0.21144278606965172,0.14676616915422885
592885,"Yelich, Christian",407,0.5675675675675675,0.43243243243243246,0.171990171990172,0.2285012285012285,0.03194103194103194,0.33415233415233414,0.3882063882063882,0.27764127764127766,0.25307125307125306,0.22358722358722358,0.09090909090909091,0.08108108108108109,0.16461916461916462,0.18673218673218675
668930,"Turang, Brice",441,0.46938775510204084,0.5306122448979591,0.2562358276643991,0.25170068027210885,0.022675736961451247,0.2585034013605442,0.40589569160997735,0.3356009070294785,0.18820861678004536,0.20861678004535147,0.07256235827664399,0.07029478458049887,0.19727891156462588,0.2630385487528345
