"player_id","player_name","team_name","start_year","end_year","sb_attempts","catcher_stealing_runs","caught_stealing_above_average","n_cs","rate_cs","est_cs_pct","cs_aa_per_throw","seasonal_runner_speed","runner_distance_from_second","pop_time","exchange_time","arm_strength","n_xcs_with_flight_over_xcs","n_xcs_with_exchange_over_xcs","n_xcs_with_accuracy_over_xcs","n_xcs_with_ground_other_over_xcs","n_xcs_with_onfly_other_over_xcs","n_xcs_with_untracked_other_over_xcs"
455117,"Maldonado, Martín","SD",2025,2025,40,-3.351512282814493,-5.1561727427915285,4,0.1,0.2289043185697882,-0.1289043185697882,"28.5925",56.299142552609446,"1.964870968","0.703709677","81.84292129",1.388811500845121,-2.4932003759890797,-0.7815082029541259,0.23989018089233227,-3.1169471002796127,-0.39321874530616263
518595,"d'Arnaud, Travis","LAA",2025,2025,47,-1.0206117565305457,-1.5701719331239166,7,0.14893617021276595,0.1823440836834876,-0.033407913470721626,"28.419148936",53.31638089785875,"1.994057143","0.650914286","77.414449429",-1.2802833448249566,0.5560615308935756,-1.6126148988790046,2.294024009643282,-1.5273592299568126,0
521692,"Perez, Salvador","KC",2025,2025,25,2.2778787876933304,3.504428904143585,10,0.39999999999999997,0.2598228438342566,0.14017715616574336,"28.376",54.582917325233126,"1.891055556","0.634777778","77.139503333",-0.8674244896889403,2.269510679720379,0.5416184211893795,-0.2956599717320393,2.125039366665922,-0.26865510201111614
543309,"Higashioka, Kyle","TEX",2025,2025,58,-3.898192653945606,-5.997219467608627,7,0.12068965517241378,0.22408999082083836,-0.10340033564842455,"28.279310345",54.7118087300529,"2.001133333","0.639466667","74.260099778",-5.101429635616989,1.172619235444904,-3.6485380521730417,1.8670363778635437,-0.28428317918567514,-0.002624213941366761
543510,"McCann, James","AZ",2025,2025,18,-0.579184119838922,-0.8910524920598799,3,0.16666666666666666,0.21616958289221555,-0.049502916225548886,"28.122222222",54.366621193445084,"1.998307692","0.689538462","78.212176923",-0.4415518356480661,-0.3886992433435562,0.26024682555210865,0.968260915586819,-0.6931676970337517,-0.5961414571734337
543877,"Vázquez, Christian","MIN",2025,2025,56,1.2121305302654621,1.864816200408404,14,0.24999999999999992,0.21669971070699284,0.033300289293007226,"28.892857143",54.72264157452966,"1.894609756","0.590609756","76.995036585",-2.389694787661557,4.186442014539828,0.18465824934825265,-0.26432944875842457,0.15859926056038964,-0.01085908762008439
553869,"Díaz, Elias","SD",2025,2025,38,-0.034942202749750795,-0.0537572349996176,6,0.15789473684210528,0.15930940092104254,-0.0014146640789372868,"28.431578947",53.23742720114482,"1.891115385","0.613807692","80.350814231",0.5507003901765943,1.675694074033377,-1.221788580072586,-0.0009200724495496138,-1.0574430466874527,0
592663,"Realmuto, J.T.","PHI",2025,2025,71,4.099680673721152,6.30720103649408,20,0.28169014084507055,0.1928563234296609,0.08883381741540955,"28.378873239",54.11665011200183,"1.792716981","0.58109434","81.938264151",3.42318949176359,6.049738165098445,-4.522492098026432,-0.09535728030420249,1.9069254289537818,-0.45480267099109933
595978,"Hedges, Austin","CLE",2025,2025,30,3.659278603584479,5.629659390129966,13,0.4333333333333333,0.24567802032900116,0.18765531300433216,"28.306666667",55.732435554394456,"1.921545455","0.635863636","79.902011364",0.42311295433481333,1.0356115102880898,1.6306458822940508,1.219165185634835,1.321123857578177,0
605170,"Caratini, Victor","HOU",2025,2025,46,-2.351211833790303,-3.6172489750620045,5,0.10869565217391305,0.18733149945786964,-0.07863584728395664,"28.426086957",53.566806564735295,"1.99953125","0.664125","74.241724375",-3.2931838185507325,-1.355008273999693,-0.8880720399809696,1.6498272537710976,0.2691879036982915,0
607732,"Stallings, Jacob","BAL",2025,2025,47,-1.0170982565423063,-1.5647665485266242,8,0.17021276595744683,0.20350567124524732,-0.03329290528780054,"28.62826087",55.39491215437023,"1.93845","0.6553","77.13237675",-1.7208871613164949,0.6175392155375052,-0.6383235231518682,-0.40023150494576815,0.6094788392519731,-0.03234241390197185
608348,"Kelly, Carson","CHC",2025,2025,51,3.2621350231939084,5.018669266452166,14,0.2745098039215686,0.17610452418721245,0.09840527973435621,"28.588235294",54.62770582378512,"1.929794872","0.637179487","78.901009487",-0.18918743919831393,2.1389898805548215,0.9003088075157026,1.292576123568785,0.8759818940111719,0
620443,"Torrens, Luis","NYM",2025,2025,44,7.523782061595765,11.575049325531944,19,0.4318181818181818,0.1687488789651831,0.26306930285299873,"28.672727273",53.928990825295024,"1.820387097","0.58016129","81.635196129",1.8439959140022744,4.020563307879732,2.7109973358268222,0.11459155895913326,2.8849012088639823,0
623168,"Heineman, Tyler","TOR",2025,2025,47,1.990923852246874,3.062959772687498,12,0.2553191489361702,0.19014979207047875,0.06516935686569145,"28.361702128",53.72836498493895,"1.860439024","0.547487805","75.578256341",-3.1652931934383095,7.940375460862299,0.8409130469313988,-0.45310098135891935,-1.6787189210982834,-0.42121563921068556
624431,"Trevino, Jose","CIN",2025,2025,62,-1.0211037918531618,-1.5709289105433255,13,0.2096774193548387,0.23501498242811814,-0.02533756307327944,"28.433870968",55.41369308250098,"1.92664","0.62358","75.2499014",-4.753660237767815,2.7416804065961817,1.466984290269819,-0.4874567965464729,-0.5384765730950395,0
624512,"McGuire, Reese","CHC",2025,2025,22,-0.1122230766866962,-0.172650887210302,4,0.1818181818181818,0.1896659494186501,-0.007847767600468276,"28.568181818",56.10250130210345,"1.9286","0.597133333","76.941410667",-0.9952379126338959,1.418544115937321,0.23688789446357317,0.4588808559227046,-1.1162063343319066,-0.17551950656809803
