"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
477132,"Kershaw, Clayton",727,0.9344473007712082,558,"72.971231348",0.37001375515818435,0.3835125448028674,0.29436038514442914,0.1863799283154122,0.14305364511691884,"7.643617895",9,-22.097136806607743,169,0.2324621733149931,313,0.4305364511691884
607536,"Freeland, Kyle",1130,0.9224489795918367,920,"72.856998248",0.3238938053097346,0.3695652173913043,0.3008849557522124,0.1815217391304348,0.14778761061946902,"7.49650208",33,0.6118386231091799,210,0.18584070796460178,490,0.4336283185840708
670955,"Uceta, Edwin",576,0.9216,377,"72.728383177",0.3072916666666666,0.2625994694960212,0.171875,0.1273209549071618,0.08333333333333333,"7.469228941",13,-13.71718080739728,199,0.3454861111111111,166,0.2881944444444444
518876,"Kelly, Merrill",1247,0.9278273809523809,971,"72.68341231",0.33119486768243783,0.32646755921730175,0.25421010425020046,0.15756951596292482,0.1226944667201283,"7.464621684",33,-31.99001250161601,276,0.22133119486768243,485,0.38893344025661586
693821,"Elder, Bryce",1031,0.9188948306595366,818,"72.649530223",0.3210475266731329,0.3594132029339853,0.2851600387972842,0.18948655256723718,0.15033947623666344,"7.506589806",25,-13.923473536244206,213,0.20659553831231814,450,0.4364694471387003
669372,"Ginn, J.T.",604,0.9123867069486404,434,"72.618320695",0.2897350993377484,0.3294930875576037,0.2367549668874172,0.18663594470046083,0.13410596026490065,"7.438758129",8,-2.47292124263621,170,0.2814569536423841,237,0.3923841059602649
543243,"Gray, Sonny",1112,0.8881789137380192,845,"72.618166403",0.294064748201439,0.3349112426035503,0.25449640287769787,0.1668639053254438,0.12679856115107913,"7.434755746",42,-7.569859511290992,267,0.24010791366906475,465,0.4181654676258993
684007,"Imanaga, Shota",1062,0.932396839332748,814,"72.610190546",0.2890772128060265,0.3353808353808354,0.2570621468926554,0.15724815724815724,0.12052730696798493,"7.53880162",16,-25.86296964165023,248,0.2335216572504708,394,0.3709981167608286
608566,"Márquez, Germán",877,0.9088082901554404,738,"72.604599396",0.3249714937286203,0.3888888888888889,0.3272519954389966,0.18699186991869918,0.1573546180159635,"7.363047708",20,12.912582417911533,139,0.15849486887115166,424,0.48346636259977194
593974,"Peralta, Wandy",483,0.9147727272727273,348,"72.599658219",0.28157349896480327,0.33045977011494254,0.23809523809523808,0.14942528735632185,0.10766045548654245,"7.572973872",10,-16.98802841061584,135,0.2795031055900621,194,0.40165631469979296
453286,"Scherzer, Max",634,0.9337260677466863,488,"72.578339795",0.2933753943217666,0.29098360655737704,0.22397476340694006,0.13934426229508196,0.10725552050473186,"7.381036041",6,-2.3246773362652413,146,0.2302839116719243,227,0.3580441640378549
669203,"Burnes, Corbin",412,0.9155555555555556,314,"72.535897306",0.3131067961165049,0.321656050955414,0.24514563106796117,0.14331210191082802,0.10922330097087378,"7.579216044",9,-16.195545184202455,98,0.23786407766990292,156,0.3786407766990291
621244,"Berríos, José",1074,0.9306759098786829,854,"72.51049216",0.2774674115456238,0.3583138173302108,0.2849162011173184,0.16744730679156908,0.13314711359404097,"7.416300689",19,-19.00516765311366,220,0.2048417132216015,465,0.4329608938547486
657376,"Schmidt, Clarke",507,0.9037433155080213,383,"72.505415661",0.2899408284023669,0.31070496083550914,0.23471400394477318,0.13315926892950392,0.10059171597633136,"7.193535207",12,-23.439942834599357,124,0.2445759368836292,193,0.3806706114398422
607074,"Rodón, Carlos",1303,0.9208480565371024,924,"72.489917383",0.2962394474290101,0.31601731601731603,0.22409823484267075,0.1341991341991342,0.09516500383729855,"7.481310445",25,-58.170193949026334,379,0.2908672294704528,464,0.3561013046815042
676263,"Dreyer, Jack",515,0.9245960502692998,378,"72.481105049",0.30291262135922326,0.328042328042328,0.2407766990291262,0.13227513227513227,0.0970873786407767,"7.224495612",10,-26.111499920234216,137,0.26601941747572816,184,0.3572815533980582
579328,"Kikuchi, Yusei",1338,0.9221226740179187,1042,"72.468973722",0.30194319880418535,0.32053742802303264,0.24962630792227206,0.15067178502879078,0.11733931240657698,"7.327686697",16,-26.457998215683304,296,0.22122571001494767,485,0.3624813153961136
686799,"Kochanowicz, Jack",812,0.9419953596287703,652,"72.45637069",0.3041871921182266,0.3696319018404908,0.29679802955665024,0.18098159509202455,0.14532019704433496,"7.38068298",12,-5.2119972180584,160,0.19704433497536947,348,0.42857142857142855
676083,"Junk, Janson",766,0.9364303178484108,629,"72.449884426",0.2754569190600522,0.3497615262321145,0.28720626631853785,0.178060413354531,0.1462140992167102,"7.256745013",5,-12.677859675799038,137,0.17885117493472585,318,0.4151436031331593
608372,"Sugano, Tomoyuki",1085,0.9305317324185248,891,"72.448534581",0.2829493087557604,0.35914702581369246,0.29493087557603687,0.16161616161616163,0.1327188940092166,"7.442752092",10,-12.177650267994675,194,0.17880184331797236,480,0.4423963133640553
694297,"Pfaadt, Brandon",1304,0.9314285714285714,1035,"72.438294532",0.29447852760736204,0.34396135265700484,0.27300613496932513,0.1826086956521739,0.14493865030674846,"7.398058811",32,-8.457751286422623,269,0.2062883435582822,535,0.4102760736196319
676467,"Gordon, Colton",639,0.9038189533239038,534,"72.420197121",0.2863849765258215,0.3089887640449438,0.25821596244131456,0.1404494382022472,0.11737089201877934,"7.406322551",8,15.617891052719397,105,0.1643192488262911,254,0.3974960876369327
688138,"Evans, Logan",548,0.9319727891156463,447,"72.417779781",0.28284671532846717,0.3333333333333333,0.2718978102189781,0.1767337807606264,0.14416058394160583,"7.441455201",7,-5.918207574208121,101,0.1843065693430657,237,0.4324817518248175
615698,"Quantrill, Cal",828,0.9139072847682119,681,"72.416480036",0.2898550724637681,0.36123348017621143,0.2971014492753623,0.1776798825256975,0.1461352657004831,"7.331865193",21,0.47297009328643064,147,0.17753623188405798,357,0.4311594202898551
681190,"Vásquez, Randy",917,0.9492753623188406,773,"72.384607361",0.28789531079607417,0.3311772315653299,0.2791712104689204,0.1500646830530401,0.12649945474372956,"7.294413184",7,-26.708372405454792,144,0.15703380588876772,405,0.4416575790621592
571578,"Corbin, Patrick",1066,0.9310043668122271,793,"72.380785919",0.29924953095684803,0.3593947036569987,0.2673545966228893,0.17276166456494324,0.12851782363977485,"7.514006173",19,-23.588062948475425,273,0.25609756097560976,431,0.40431519699812385
656288,"Canning, Griffin",537,0.9148211243611585,402,"72.37972797",0.2867783985102421,0.32587064676616917,0.24394785847299813,0.14427860696517414,0.10800744878957169,"7.451565214",13,-14.653846442873139,135,0.25139664804469275,193,0.35940409683426444
605400,"Nola, Aaron",668,0.9342657342657342,507,"72.374078922",0.24700598802395216,0.3333333333333333,0.25299401197604793,0.14398422090729784,0.1092814371257485,"7.564782964",13,-2.236356210652521,161,0.2410179640718563,253,0.3787425149700599
669276,"Lee, Dylan",515,0.9346642468239564,344,"72.362861359",0.287378640776699,0.27325581395348836,0.1825242718446602,0.11627906976744186,0.07766990291262135,"7.834308019",11,-15.652484571700802,171,0.3320388349514563,161,0.312621359223301
