"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2024","Mullins, Cedric","656775","110","499","1938",-1.0200490311745756,-10.151049617847168,-11.00063085123712,13.793015865066108,6.3386155728435805
"2024","Yoshida, Masataka","807799","111","421","1593",8.429626287828201,1.9415547236381065,-12.70808538776376,11.576117977961998,7.6200389739918615
"2024","Tovar, Ezequiel","678662","115","694","2528",4.991162390126222,11.464051639557661,-15.875046623480326,1.5083228290795518,7.893834544969291
"2024","Meadows, Parker","678009","116","297","1212",1.567329019815747,4.067168475733577,-15.35426500614279,9.029507407856435,3.8249181423685257
"2024","Renfroe, Hunter","592669","118","424","1652",1.2464712678559393,-8.313534865387926,-9.452352472328663,11.871717941664036,7.140640663908479
"2024","Rojas, Miguel","500743","119","337","1211",3.660867887300041,-5.5622144830131015,-4.4490094966614135,8.501121419760752,5.170970447213803
"2024","Contreras, William","661388","158","674","2677",29.55346827691033,0.2955022927580978,-1.540948345391362,18.56308500956326,12.235829319980303
"2024","Julien, Edouard","666397","142","300","1235",-9.613660899459116,-12.736331195712566,-15.464243867230294,13.547279379460957,5.039634784022755
"2024","Verdugo, Alex","657077","147","620","2342",-17.474917189211663,-19.246553714047465,-23.7707007085608,17.59669059052027,7.945646642876358
"2024","Rojas, Johan","679032","143","363","1329",-7.798128928387984,-2.226817527218147,-16.185881688666225,5.5621518661104,5.052418421385988
"2024","Hayes, Ke'Bryan","663647","134","395","1470",-19.632534095973057,-10.926240920582368,-21.51360888997588,6.043172015556242,6.764143699028953
"2024","Merrill, Jackson","701538","135","592","2214",20.242489236130712,4.335720321449385,2.096571369815183,7.29649896500482,6.513698579861341
"2024","Burleson, Alec","676475","138","594","2113",1.3918175730153797,-10.57074285787801,-4.549016536838982,8.893404790350967,7.618172177381412
"2024","Morel, Christopher","666624","139","608","2352",-15.089320633689033,-8.515899502107427,-31.30568398449529,14.378538244176891,10.35372460873683
"2024","García, Adolis","666969","140","635","2534",-11.154178460683552,-15.720394428325719,-16.780780984243254,11.477136722273823,9.869860229611632
"2024","Wood, James","695578","120","335","1404",6.303168303880345,-0.7163331488705837,-9.857119642785598,11.103434388425589,5.7731867071109475
"2024","Kelenic, Jarred","672284","144","448","1758",-5.571533499001054,-5.269029999026204,-13.49696180365767,7.678050942093977,5.516407361588849
"2024","Frazier, Adam","624428","118","294","1211",-10.483165348044498,-18.30323145601569,-7.161559312446297,9.602421900281442,5.379203520136032
"2024","Turang, Brice","668930","158","616","2470",-6.9156176929187705,-23.767855843124373,-11.083128190178384,17.866916871963415,10.068449468420592
"2024","Miranda, Jose","669304","142","428","1540",2.656482526881133,-4.6647572409395055,-3.964097235810401,6.422709362789816,4.862627640841232
"2024","Winker, Jesse","608385","121","506","2063",13.22333202261056,-10.189170309477534,-6.6977292613168675,21.453708932457573,8.656522660947417
"2024","Winn, Masyn","691026","138","634","2553",-1.360613816278163,-18.231229315798586,-6.858122816755357,18.469121151879992,5.259617164395775
"2024","Semien, Marcus","543760","140","716","2626",0.24524096324085942,-4.921559686496602,-27.4674027195843,21.234528242561666,11.399675126760119
"2024","Clement, Ernie","676391","141","451","1449",-1.9329969722514528,4.785582156544566,-16.568151429070863,5.09075916329607,4.758813136978753
"2024","O'Hoppe, Logan","681351","108","521","1983",0.2691985069722507,10.592112607545888,-27.526604871006803,8.055315301073522,9.148375469359639
"2024","Devers, Rafael","646240","111","587","2375",25.984305267825192,-6.741470928608657,6.741116928044715,18.66808464890803,7.316574619481031
"2024","Naylor, Josh","647304","114","625","2284",12.769692862483891,-6.74782884021194,-7.181009385876189,14.9880073571469,11.710523731425148
"2024","McMahon, Ryan","641857","115","640","2723",-1.9994192027824147,-16.951215325370434,-10.20719932440491,17.160436679451035,7.998558767541904
"2024","Pham, Tommy","502054","118","478","1923",-1.5057764734523706,-5.874227806447076,-17.29619857536693,14.351672000439644,7.312977907921993
"2024","Vientos, Mark","668901","121","454","1756",20.11717740422899,7.084624097579407,-0.3013272035617724,7.132175768308868,6.201704741902494
"2024","Stanton, Giancarlo","519317","147","456","1829",9.07386487410787,-2.9500306873573496,-0.9149038481733808,4.537096448148551,8.401702961490093
"2024","Soto, Juan","665742","147","709","2957",72.76348321785434,9.220682753064628,5.823255437404114,37.49198968070011,20.227555346685275
"2024","Cabrera, Oswaldo","665828","147","324","1267",-4.008035461964556,-10.094162581033608,-8.385015322032602,9.740013390018683,4.73112905108298
"2024","Chisholm Jr., Jazz","665862","147","615","2494",15.090740621831776,5.223140287323355,-18.42097867444515,16.483534495356707,11.805044513596847
"2024","Rooker, Brent","667670","133","610","2378",40.88899102952482,21.213756332772665,-3.0715429866763064,14.144306121070453,8.602471562357907
"2024","Bohm, Alec","664761","143","604","2122",11.60361844041311,-7.5067506446016505,-1.1710961856172395,14.388007813836381,5.893457456795645
"2024","Tellez, Rowdy","642133","134","421","1666",-4.231616791748806,-8.305394141035608,-8.724686878298847,9.298916731834908,3.4995474957507278
"2024","Bart, Joey","663698","134","282","1127",6.603773469927993,0.38164989930210685,-3.1308463337865975,3.4384718010512683,5.914498103361211
"2024","Polanco, Jorge","593871","136","466","1945",-8.550109359890923,-5.724217882793198,-27.52930451859975,15.02817691753501,9.675236123967037
"2024","Estrada, Thairo","642731","137","381","1309",-15.621245568211654,-5.839287208256531,-15.074459045113306,1.6869384339555646,3.605562251202627
"2024","Arenado, Nolan","571448","138","632","2452",0.5664174670780339,-3.7604972116127113,-20.71982472901897,14.371937201145915,10.674802206563774
"2024","Gorman, Nolan","669357","138","399","1594",-6.895001061322127,-2.9858230398282095,-18.46839657666891,10.668842435582311,3.8903761195926836
"2024","Díaz, Yandy","650490","139","621","2460",6.100894792392409,-16.298344479880864,-8.3541775623191,19.333573788991092,11.419843045601246
"2024","Palacios, Richie","680700","139","314","1281",-1.687415152672319,-7.379605349350332,-13.258174095105977,12.533483206207745,6.416881085576235
"2024","Pillar, Kevin","607680","108","314","1206",-4.875333440451373,-5.4361204340007445,-9.450515198049311,5.306017513976304,4.705284677622376
"2024","Rosario, Eddie","592696","144","319","1187",-17.870276073141444,-16.91279655528752,-8.18669896809104,3.927749575254929,3.3014698749822062
"2024","Olson, Matt","621566","144","679","2947",17.574800348477797,-4.735290448559685,-10.30867110910972,18.71869756311518,13.900064343032012
"2024","Smith, Dominic","642086","113","307","1211",-0.8839527466384653,-5.1191578858781694,-9.431222840260242,8.390611265360569,5.275816714139366
"2024","Fermin, Freddy","666023","118","367","1434",-4.766325943695067,-7.990523458310107,-13.061318395529705,9.596537977212108,6.688977932932642
"2024","Melendez, MJ","669004","118","450","1845",-10.565592825855175,-10.42025389355832,-18.432252191312404,10.661371646881658,7.625541612133917
"2024","Witt Jr., Bobby","677951","118","700","2600",57.2339099305001,12.90639213649224,8.213711028934267,21.119276260193125,14.994530504880403
"2024","Chourio, Jackson","694192","158","569","2103",14.514330071749209,12.14183491846699,-12.604066929906441,6.637380548493412,8.339181534695262
"2024","Larnach, Trevor","663616","142","399","1576",8.112460663493778,-3.8380497227349086,-7.503543025802944,11.685303669024407,7.768749743007236
"2024","Suwinski, Jack","669261","134","275","1114",-9.829007769597302,-7.6652231533774335,-16.45049138579396,11.448978316012239,2.837728453561849
"2024","Kirk, Alejandro","672386","141","385","1495",-1.1556011543294629,-2.31355867397258,-15.442538217315969,9.573523910671597,7.026971826287483
"2024","Rivera, Emmanuel","656896","110","302","1151",-6.796072012088754,-4.499984188411413,-16.454664493306158,9.026087434957173,5.132489234671614
