"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
677951,"Witt Jr., Bobby","R","74.337984048",28.59262699808465,5.104432294448915,-0.23448406823612894,0.47307001795332143,0.325859565310611,27.779466465184196,27.45360689987359,25.2305378906278,1114
671739,"Harris II, Michael","L","74.324738145",30.760585386239878,6.900836829239863,-0.979624149141688,0.5041938490214352,-0.21964857465853024,30.786742096625947,31.006390671284482,28.526958167712518,1073
547180,"Harper, Bryce","L","74.188666589",35.54412203606055,11.583559551097553,-2.2190958584268667,0.4608695652173915,9.637222793357726,33.19954531793922,23.5623225245815,29.458047214940297,1035
572233,"Walker, Christian","R","74.121950838",29.420557373286908,9.079080157886843,-4.633578086522533,0.5133967156439068,2.836130716074497,31.447010492055156,28.610879775980663,26.29557561651077,1157
677800,"Abreu, Wilyer","L","74.113350443",31.193213060283295,9.476993186120563,-1.249664652785734,0.5758389261744967,1.5407770634582736,31.366335815985423,29.82555875252714,26.570340799222215,745
691176,"Domínguez, Jasson","R","74.059258804",31.3538563645593,6.4739984131281725,-3.5679431563115083,0.46423927178153446,2.1491648276706736,30.128580638275977,27.979415810605325,23.9987742010782,769
545361,"Trout, Mike","R","74.049968238",36.37295355759373,7.58848055913793,0.15922148273217157,0.4480746791131856,-5.67197849416535,24.26959821187488,29.941576706040234,25.300012347567037,857
641857,"McMahon, Ryan","L","74.025842228",38.842659579401705,13.10885170618181,0.856094928892415,0.47452547452547467,2.7593742735124356,26.763090825845097,24.003716552332655,32.03037079180329,1001
671218,"Ramos, Heliot","R","74.003327959",31.508326741046506,5.956255253550774,1.5430436513963146,0.47237076648841353,2.639442901528981,27.579312711462656,24.939869809933676,27.63509213583179,1122
691016,"Soderstrom, Tyler","L","73.960501168",30.547878475813327,9.579429538717546,1.1952690832096877,0.5026068821689261,-0.77213614423596,28.01568352702699,28.787819671262962,31.464796277335694,959
665487,"Tatis Jr., Fernando","R","73.960078147",29.750126556602716,8.279362027327346,0.7742216170347129,0.5637065637065639,3.606792719561458,29.869383234220788,26.262590514659337,28.961488959795044,1036
624424,"Conforto, Michael","L","73.955932287",31.995088301986684,10.179084891246285,1.1138299686491688,0.4778443113772455,0.601605476246292,27.745126388650196,27.1435209124039,28.267225391908955,835
621566,"Olson, Matt","L","73.94386164",33.8770673109188,8.72919174401843,1.13825657402151,0.48248407643312086,1.3481366169518954,32.50671443641315,31.15857781946127,30.529094911438694,1256
665862,"Chisholm Jr., Jazz","L","73.927217537",32.90719728416402,15.794919897026455,-6.03301993892248,0.5675368898978433,1.4030911094890781,31.638608597203067,30.235517487713988,25.825647370959153,881
694192,"Chourio, Jackson","R","73.879173498",26.43930597307096,7.119695094407522,1.4378496835831938,0.5766129032258065,3.2071228560614378,27.9517754323552,24.744652576293763,30.41543492658213,992
664040,"Lowe, Brandon","L","73.851873033",33.48927052095022,14.81665333633321,-2.5735971009523815,0.4872037914691944,7.051700737967023,34.09797134482241,27.046270606855394,26.609439933688257,1055
669127,"Langeliers, Shea","R","73.821159348",30.307823274800143,11.448362567795332,-3.116345934855129,0.6141732283464566,6.498927366372352,33.66532601069829,27.166398644325934,29.6705098691198,889
621043,"Correa, Carlos","R","73.809263398",33.071411028721755,7.671074760901912,-1.5385780997948095,0.4174757281553397,2.696593190518365,28.45567791912314,25.759084728604766,28.79055732913448,927
666160,"Moniak, Mickey","L","73.765342013",33.63141645924229,11.57655451988196,-4.333286210898444,0.46875000000000017,3.3594531108187575,29.131593435493684,25.772140324674922,30.78387959378882,800
671732,"Butler, Lawrence","L","73.750080653",30.46208278721931,6.818226027093213,1.730905040228833,0.4399615754082615,2.9151586935119123,28.81082566392812,25.895666970416197,31.23007396685749,1041
543807,"Springer, George","R","73.743484772",35.13643844524307,13.167596802790221,-0.37957764631000057,0.5813449023861174,-4.6542007120156805,22.324155801140485,26.978356513156168,27.1770389697719,922
668904,"Lewis, Royce","R","73.617539693",28.907880102616776,10.822743203076724,-7.70378558080187,0.6832116788321166,4.002051817654967,28.576428053689874,24.5743762360349,26.49445606042574,685
665742,"Soto, Juan","L","73.594467372",28.1211710728813,10.942524529906995,3.8272391219837845,0.6586695747001092,-1.6328762851707144,23.222419577743857,24.855295862914563,30.251495597478936,917
650490,"Díaz, Yandy","R","73.570977436",24.39931512212132,2.9275831401630716,7.047136773253282,0.3534218590398366,0.5614902839347019,29.901526174511734,29.340035890577024,28.665182920901312,979
667670,"Rooker, Brent","R","73.547462265",36.27901006847258,12.270071839563213,-6.134705076793446,0.45115452930728234,1.434235146012804,32.8161645033054,31.38192935729258,27.218194818780162,1126
664056,"Bader, Harrison","R","73.527069449",25.412035274821474,12.01883367728962,-5.380915695845637,0.5005988023952097,6.406666493231941,33.55214582930453,27.145479336072615,27.17619643462175,835
595879,"Báez, Javier","R","73.51512607",30.27410520385482,9.996602699461722,-5.612846546067036,0.5054200542005421,10.185186300631594,29.78321962480753,19.598033324175947,28.714867981396303,738
663457,"Nootbaar, Lars","L","73.436411289",27.957504253656325,9.206797627343674,-3.1246011039469836,0.553903345724907,5.624267362974916,34.745416162072175,29.121148799097266,27.861521840116744,807
669224,"Wells, Austin","L","73.426844994",31.82322298853912,10.478079942341457,-5.652173393290207,0.4993804213135068,-0.23960988579842332,30.53303197740158,30.77264186320001,23.64489613756552,807
676572,"Wagaman, Eric","R","73.418307545",27.90304930646215,6.875492995989854,-2.7168457409698994,0.49357326478149094,7.225099787299426,32.330228141075196,25.105128353775772,28.137473821037883,778
700250,"Rice, Ben","L","73.40694141",33.22592890095617,10.63320939403691,-5.956327310806948,0.567948717948718,-2.376121700552785,28.471871276297822,30.847992976850605,28.50480558702399,780
502054,"Pham, Tommy","R","73.400016863",27.397414042067865,8.209091817564609,-0.9080766471007824,0.5186335403726708,1.240696691386669,32.6708728169333,31.430176125546627,28.458180314978744,644
592885,"Yelich, Christian","L","73.379729421",36.26550730343851,9.74193322001534,6.944186856930144,0.4444444444444445,-1.002850680474245,26.75242840659078,27.75527908706502,29.911927934833965,1053
673548,"Suzuki, Seiya","R","73.36558583",31.091445777652737,8.067099104060558,-3.0838096491680513,0.5040485829959516,6.475361937147668,34.492023349475424,28.01666141232775,27.829712006110615,988
661388,"Contreras, William","R","73.253165109",29.23353779596751,10.62921819275557,3.3140149664147107,0.6574690770694576,1.6882875797653722,30.226625113159468,28.538337533394095,27.95962328282221,1051
687597,"Beck, Jordan","R","73.199990499",32.73800851425895,10.711980595511577,-3.311356677695211,0.5180467091295118,9.977144146509634,27.628600305776033,17.651456159266395,29.473279531515132,942
694671,"Langford, Wyatt","R","73.144246678",33.72230573986182,16.7574242308255,-3.1093856243482394,0.4855555555555555,3.1711557110748356,32.01583089822511,28.844675187150276,27.372052875228942,900
605137,"Bell, Josh","R","73.081846254",33.65046242005129,10.05386119743655,-2.9237134688732827,0.5804274465691788,-1.9436957915090936,27.568809291901957,29.51250508341105,28.388340334381528,889
679529,"Torkelson, Spencer","R","73.047568006",38.0050490814219,13.536550047003875,-8.030219878381242,0.5000000000000002,-2.261009823544775,30.683048219551882,32.94405804309666,27.978227338408725,1048
606192,"Hernández, Teoscar","R","72.943081924",31.909197798681348,10.359163223483641,-0.11251473488544061,0.5443974630021143,-0.26794313794854385,30.465091104296082,30.73303424224463,29.88769333009945,946
521692,"Perez, Salvador","R","72.936409731",34.185431794332914,12.45125356374873,-5.391532078949702,0.5621198957428323,0.8576763254089228,30.42804124320126,29.570364917792347,27.295105745142404,1151
542303,"Ozuna, Marcell","R","72.883619272",36.84753413422211,13.94354351953983,-0.9147061921620883,0.5298013245033114,-2.010659776376823,32.404400926434256,34.415060702811076,26.10164153006126,906
