"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Schuemann, Max","680474","2024",26,13,13,20,50,18,25,49,18,35,25,75,28,92,52,64,36,9,81,94
"Hensley, David","682073","2024",,,,,,,,,54,,,,,,,56,,,,
"Baldwin, Brooks","681460","2024",,,,,,,,,20,,,,,,22,92,,,,
"Chisholm Jr., Jazz","665862","2024",46,31,56,60,37,76,66,60,62,57,33,56,22,45,66,82,93,52,26,29
"Feduccia, Hunter","676439","2024",,,,,,,,,7,,,,,,,57,,,,
"Torrens, Luis","620443","2024",,,,,,,,,42,,,,,,,29,,,,
"Tatis Jr., Fernando","665487","2024",96,96,96,93,92,81,92,97,98,99,46,40,30,50,98,77,40,86,78,48
"Duran, Ezequiel","677649","2024",,,,,,,,,80,,,,,,59,87,82,,,
"Turner, Trea","607208","2024",54,79,60,48,37,52,40,51,66,52,72,10,41,16,32,96,26,43,57,18
"Raley, Luke","670042","2024",50,12,64,78,27,56,75,68,96,61,8,19,4,54,73,90,9,89,3,62
"Tucker, Kyle","663656","2024",,,,,,,,,36,,,,,,52,18,,,,
"Dubón, Mauricio","643289","2024",4,54,9,3,9,6,5,7,39,5,96,4,83,2,80,48,95,15,72,18
"Margot, Manuel","622534","2024",38,73,32,18,44,12,20,29,74,17,84,20,72,36,17,53,16,,,
"LeMahieu, DJ","518934","2024",,,,,,,,,39,,,,,,16,20,87,,,
"Martínez, Angel","682657","2024",,,,,,,,,22,,,,,,63,58,,,,
"Solano, Donovan","456781","2024",,,,,,,,,31,,,,,,,10,,,,
"Berroa, Steward","672642","2024",,,,,,,,,7,,,,,,,89,,,,
"Brown, Seth","664913","2024",23,24,41,49,10,37,55,67,71,51,14,23,24,36,17,49,9,73,23,62
"Goodrum, Niko","592348","2024",,,,,,,,,11,,,,,,,39,,,,
"Mead, Curtis","678554","2024",,,,,,,,,85,,,,,,25,39,,,,
"Vientos, Mark","668901","2024",66,40,83,88,27,76,92,82,88,80,8,40,4,24,62,22,6,50,41,18
"Dalbec, Bobby","666915","2024",,,,,,,,,33,,,,,,,83,,,,
"Guillorme, Luis","641645","2024",,,,,,,,,41,,,,,,20,4,80,,,
"Castillo, Diego","660636","2024",,,,,,,,,6,,,,,,,21,,,,
"García Jr., Luis","671277","2024",69,90,75,63,46,64,51,51,67,60,82,11,69,9,13,45,89,45,78,48
"Gurriel, Yuli","493329","2024",,,,,,,,,22,,,,,,,27,,,,
"Suárez, Eugenio","553993","2024",69,51,78,81,47,84,78,51,76,63,17,46,24,59,45,27,83,56,20,8
"Giménez, Andrés","665926","2024",26,76,19,7,42,14,5,9,55,8,86,5,61,6,62,89,100,9,46,82
"Realmuto, J.T.","592663","2024",74,80,79,72,58,54,71,52,57,80,30,26,40,37,,79,,70,23,18
"Jansen, Danny","643376","2024",,,,,,,,,29,,,,,,,27,,,,
"Biggio, Cavan","624415","2024",,,,,,,,,14,,,,,,12,80,26,,,
"Wagaman, Eric","676572","2024",,,,,,,,,80,,,,,,,42,,,,
"Holliday, Jackson","702616","2024",,,,,,,,,50,,,,,,14,95,64,,,
"Schneemann, Daniel","682177","2024",,,,,,,,,39,,,,,,95,76,47,,,
"Varsho, Daulton","662139","2024",2,1,4,29,4,30,31,7,63,18,20,67,36,67,40,80,98,78,1,18
"Baker, Luken","663609","2024",,,,,,,,,52,,,,,,,5,,,,
"Westbrook, Jamie","642197","2024",,,,,,,,,23,,,,,,,34,,,,
"Vosler, Jason","613564","2024",,,,,,,,,22,,,,,,,31,,,,
"Marte, Ketel","606466","2024",97,96,96,94,96,88,84,98,99,96,72,85,69,66,33,43,93,78,88,18
"Gallo, Joey","608336","2024",,,,,,,,,47,,,,,,5,26,,,,
"Jung, Josh","673962","2024",,,,,,,,,39,,,,,,22,48,,,,
"Monasterio, Andruw","655316","2024",,,,,,,,,26,,,,,,32,57,,,,
"Ramos, Bryan","682868","2024",,,,,,,,,23,,,,,,,86,,,,
"Sosa, Edmundo","624641","2024",,,,,,,,,90,,,,,,27,92,86,,,
"Thompson, Bubba","669352","2024",,,,,,,,,7,,,,,,,96,,,,
"Pagés, Pedro","686780","2024",,,,,,,,,57,,,,,,,17,,,,
"Grissom, Vaughn","687093","2024",,,,,,,,,16,,,,,,17,51,,,,
"Domínguez, Jasson","691176","2024",,,,,,,,,52,,,,,,,64,,,,
"Crews, Dylan","686611","2024",,,,,,,,,55,,,,,,83,93,,,,
"Mendick, Danny","664901","2024",,,,,,,,,36,,,,,,12,26,,,,
"Refsnyder, Rob","608701","2024",,,,,,,,,77,,,,,,84,48,,,,
"Blankenhorn, Travis","663905","2024",,,,,,,,,27,,,,,,,22,,,,
"Shewmake, Braden","669699","2024",,,,,,,,,48,,,,,,57,62,,,,
"Rojas, Josh","668942","2024",21,13,18,27,32,24,27,29,39,40,40,69,50,89,57,40,94,4,83,48
"Estrada, Thairo","642731","2024",2,16,10,16,1,14,18,9,42,12,61,1,73,13,9,70,94,,,
"Gasper, Mickey","681508","2024",,,,,,,,,15,,,,,,,41,,,,
"Suwinski, Jack","669261","2024",,,,,,,,,77,,,,,,63,77,5,,,
"Smith, Will","669257","2024",70,34,78,85,62,77,74,56,48,62,66,67,71,64,,49,,6,69,62
"Busch, Michael","683737","2024",55,10,62,80,42,72,76,64,52,46,12,85,28,84,1,48,74,24,52,48
"Bart, Joey","663698","2024",,,,,,,,,77,,,,,,,41,,,,
"Yepez, Juan","660766","2024",,,,,,,,,83,,,,,,24,31,,,,
"Díaz, Elias","553869","2024",7,31,10,10,14,10,17,16,65,20,63,16,32,20,,2,,,,
"Bleday, JJ","668709","2024",52,34,52,57,58,71,54,38,88,26,65,77,41,75,82,57,21,45,63,48
"Bouchard, Sean","656248","2024",,,,,,,,,47,,,,,,58,41,,,,
"Julien, Edouard","666397","2024",,,,,,,,,63,,,,,,22,30,14,,,
"Bae, Ji Hwan","678225","2024",,,,,,,,,36,,,,,,68,91,,,,
"Lopez, Otto","672640","2024",46,88,44,20,52,20,21,26,44,42,74,17,67,26,36,86,98,28,87,97
"Jiménez, Leo","677870","2024",,,,,,,,,26,,,,,,21,67,21,,,
"Julks, Corey","667452","2024",,,,,,,,,41,,,,,,63,80,,,,
"Wynns, Austin","642851","2024",,,,,,,,,60,,,,,,,7,,,,
"Lee, Jung Hoo","808982","2024",,,,,,,,,46,,,,,,97,79,,,,
"Rodgers, Brendan","663898","2024",24,51,30,24,20,34,25,55,73,70,33,17,43,46,16,17,24,45,42,72
"De Los Santos, Luis","665782","2024",,,,,,,,,22,,,,,,,42,,,,
"Smith, Dominic","642086","2024",,,,,,,,,48,,,,,,1,12,77,,,
"Perkins, Blake","663368","2024",7,10,3,7,23,8,12,44,25,38,30,69,35,76,87,97,95,15,90,48
"Anderson, Tim","641313","2024",,,,,,,,,46,,,,,,54,43,29,,,
"Florial, Estevan","664314","2024",,,,,,,,,67,,,,,,,85,,,,
"Adams, Riley","656180","2024",,,,,,,,,62,,,,,,,27,,,,
"García, Adolis","666969","2024",36,16,58,71,12,90,85,78,98,87,16,36,5,17,84,36,1,54,24,5
"Hernández, Enrique","571771","2024",14,24,26,31,11,14,18,59,85,59,64,32,60,64,60,41,66,45,63,39
"Heyward, Jason","518792","2024",,,,,,,,,39,,,,,,84,36,,,,
"Marte, Starling","516782","2024",77,96,67,37,84,24,40,62,71,65,46,40,28,38,90,43,4,58,46,48
"Loftin, Nick","679845","2024",,,,,,,,,15,,,,,,38,60,,,,
"Cook, Billy","695257","2024",,,,,,,,,47,,,,,,,93,,,,
"Lowe, Brandon","664040","2024",80,56,90,90,52,65,84,62,72,71,22,47,10,32,14,45,50,76,18,72
"Pache, Cristian","665506","2024",,,,,,,,,50,,,,,,92,80,,,,
"Herrera, Iván","671056","2024",,,,,,,,,85,,,,,,,47,,,,
"Bregman, Alex","608324","2024",56,69,65,58,47,60,34,51,48,51,94,32,98,82,26,32,92,39,96,82
"Hedges, Austin","595978","2024",,,,,,,,,9,,,,,,,8,,,,
"Trout, Mike","545361","2024",,,,,,,,,93,,,,,,44,90,,,,
"Arias, Gabriel","672356","2024",,,,,,,,,89,,,,,,97,50,,,,
"Siri, Jose","642350","2024",24,2,56,84,3,68,94,20,72,60,1,32,1,12,97,99,99,61,1,8
"Encarnacion, Jerar","666464","2024",,,,,,,,,95,,,,,,,38,,,,
"Hilliard, Sam","656541","2024",,,,,,,,,76,,,,,,90,88,,,,
"Casali, Curt","592200","2024",,,,,,,,,13,,,,,,,2,,,,
"Machado, Manny","592518","2024",74,83,80,72,58,90,75,93,97,90,66,36,50,42,56,15,38,90,52,8
"Soto, Livan","670869","2024",,,,,,,,,3,,,,,,,20,,,,
"Hernaiz, Darell","687231","2024",,,,,,,,,32,,,,,,18,55,,,,
"Stanton, Giancarlo","519317","2024",86,45,94,97,42,94,99,99,100,98,6,55,4,30,,3,,100,8,1
"Rutschman, Adley","668939","2024",48,67,48,37,66,54,30,29,52,28,83,62,89,47,,28,,14,86,86
"Raleigh, Cal","663728","2024",82,22,88,93,64,95,96,78,91,86,14,85,13,22,,28,,84,8,8
"Witt Jr., Bobby","677951","2024",98,98,98,96,96,99,92,94,98,88,88,51,65,25,78,100,99,86,72,72
"McMahon, Ryan","641857","2024",59,34,56,60,66,79,74,91,87,93,12,79,18,62,47,16,92,61,23,62
"Dunn, Oliver","686554","2024",,,,,,,,,67,,,,,,,92,,,,
"Stewart, DJ","621466","2024",,,,,,,,,71,,,,,,72,40,,,,
"Greene, Riley","682985","2024",88,57,90,90,80,87,90,84,92,83,20,83,37,85,52,59,75,86,26,62
"Alexander, Blaze","677942","2024",,,,,,,,,66,,,,,,89,84,,,,
"Abreu, Wilyer","677800","2024",55,22,64,74,32,58,76,86,93,94,14,61,20,50,98,55,91,85,24,39
"Locklear, Tyler","682988","2024",,,,,,,,,80,,,,,,,27,,,,
"Loperfido, Joey","694388","2024",,,,,,,,,62,,,,,,47,88,56,,,
"Bichette, Bo","666182","2024",,,,,,,,,74,,,,,,37,49,70,,,
"Fitzgerald, Tyler","666149","2024",17,19,30,42,11,20,53,22,30,13,4,26,12,60,31,100,31,,,
"Torkelson, Spencer","679529","2024",12,6,16,35,12,18,37,49,47,45,16,60,38,84,4,47,71,77,10,29
"Díaz, Yandy","650490","2024",73,89,62,45,80,68,48,92,99,89,86,52,97,88,3,10,21,73,93,29
"Campero, Gustavo","672569","2024",,,,,,,,,46,,,,,,,77,,,,
"Diaz, Yainer","673237","2024",78,97,80,53,66,71,48,68,76,85,74,5,54,2,,44,,61,65,39
"Nootbaar, Lars","663457","2024",89,76,79,76,91,48,66,88,89,91,65,98,82,100,75,40,69,,,
"Baty, Brett","683146","2024",,,,,,,,,81,,,,,,43,38,78,,,
"Stephenson, Tyler","663886","2024",56,34,52,56,62,58,60,68,72,68,40,64,62,80,,27,,31,88,39
"Vargas, Miguel","678246","2024",,,,,,,,,70,,,,,,88,84,,,,
"Baker, Darren","671117","2024",,,,,,,,,5,,,,,,,39,,,,
"O'Hearn, Ryan","656811","2024",86,89,83,69,86,47,40,59,44,49,93,64,84,65,18,64,,58,79,72
"Betts, Mookie","605141","2024",92,94,82,65,94,42,29,64,53,44,98,92,94,93,55,31,19,13,99,86
"Madrigal, Nick","663611","2024",,,,,,,,,16,,,,,,36,54,,,,
"Moncada, Yoán","660162","2024",,,,,,,,,42,,,,,,,35,,,,
"Vierling, Matt","663837","2024",41,62,44,35,42,56,46,62,74,54,50,38,78,89,50,87,60,37,85,39
"Fry, David","681807","2024",64,54,50,46,87,27,46,32,41,37,49,79,47,52,,22,,25,30,8
"Winn, Masyn","691026","2024",20,64,20,12,29,24,10,14,73,14,76,26,82,35,95,87,83,23,63,48
"Williams, Luke","663897","2024",,,,,,,,,13,,,,,,,83,,,,
"Happ, Ian","664023","2024",82,37,72,79,82,86,79,76,92,74,26,94,31,84,48,66,40,58,31,82
"Walsh, Jared","665120","2024",,,,,,,,,85,,,,,,,30,,,,
"Robert Jr., Luis","673357","2024",9,7,28,48,4,45,66,68,87,52,2,28,2,10,54,88,75,85,4,13
"Bote, David","623520","2024",,,,,,,,,31,,,,,,,39,,,,
"Iglesias, Jose","578428","2024",,,,,,,,,58,,,,,,21,83,77,,,
"McKinney, Billy","641856","2024",,,,,,,,,8,,,,,,,42,,,,
"Ortega, Rafael","542364","2024",,,,,,,,,11,,,,,,,19,,,,
"Jones, Jahmai","663330","2024",,,,,,,,,54,,,,,,,56,,,,
"Walker, Christian","572233","2024",86,45,83,86,79,86,90,82,91,86,36,73,44,77,3,21,97,89,8,29
"Newman, Kevin","621028","2024",,,,,,,,,14,,,,,,27,53,91,,,
"Wade Jr., LaMonte","664774","2024",89,64,66,62,97,39,65,74,70,70,43,99,53,94,6,7,20,,,
"Remillard, Zach","621545","2024",,,,,,,,,17,,,,,,,69,,,,
"Meyers, Jake","676694","2024",31,27,36,43,27,42,39,29,60,32,40,31,36,29,48,89,97,12,39,82
"Morel, Christopher","666624","2024",45,15,43,59,47,74,69,52,76,50,24,73,5,65,87,49,1,95,7,4
"Trevino, Jose","624431","2024",,,,,,,,,33,,,,,,,3,,,,
"Dezenzo, Zach","701305","2024",,,,,,,,,83,,,,,,,77,,,,
