"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2023","Moll, Sam","594580","113","260","1025",9.040052015370293,7.437342260297122,12.857905729179908,-4.711863216347501,-6.543332757759228
"2023","Wentz, Joey","666214","116","492","1930",-25.185272587320593,-8.127590588473499,6.051475378003511,-16.094408328252737,-7.014749048597975
"2023","Clarke, Taylor","664199","118","265","1068",-11.437554597080158,-3.6480768391145424,2.6746059486271156,-7.158609309821248,-3.305474396771478
"2023","Gray, Sonny","543243","142","754","2818",36.558660423131805,31.553200802755317,24.966485740158205,-12.053655339489254,-7.907370780292521
"2023","Ryan, Joe","657746","142","671","2683",-0.14353178231355246,8.872141486518213,11.718315505100724,-12.249044014886447,-8.484944759046028
"2023","Raley, Brooks","548384","121","232","982",3.5937023866257993,3.9214991384654994,9.68763678025003,-3.4534237525847975,-6.562009779504931
"2023","Megill, Tylor","656731","121","567","2235",-17.095901987889913,2.5508946065410103,7.607559215921636,-16.099031347695007,-11.155324462657543
"2023","Cole, Gerrit","543037","147","819","3281",46.17806571474531,39.22230166079997,36.94372812861966,-18.54575887617539,-11.442205198498872
"2023","King, Michael","650633","147","430","1681",13.192628495631473,5.770987027867836,21.359822825684923,-7.870006545982637,-6.06817481193871
"2023","Walker, Taijuan","592836","143","732","2837",-2.1743312438890543,8.882371040348339,20.261847298682596,-17.227190324978057,-14.091359257941873
"2023","Bednar, David","670280","134","273","1105",13.532198760074836,9.927409788356895,13.889683197394312,-6.717165341041037,-3.567728884635356
"2023","Kikuchi, Yusei","579328","141","700","2818",-0.9953454969660948,5.600137327985949,16.35926978035876,-11.061078764522401,-11.893673840788379
"2023","Corbin, Patrick","571578","120","790","2922",-24.13770816513099,-1.198282745760157,3.1119582277797653,-18.321283906638435,-7.730099740512208
"2023","Sandoval, Patrick","663776","108","650","2620",-6.123387244141401,4.652289004004223,17.850302581705055,-15.445218160600012,-13.180760669250592
"2023","McHugh, Collin","543521","144","267","1018",-1.8822018063671053,3.5098497725992517,6.590839464487323,-6.829952683016522,-5.152938360437163
"2023","Whitlock, Garrett","676477","111","304","1195",-9.979770188847857,-3.1817143677303887,-0.42847558592172263,-2.143526744126171,-4.226053491069596
"2023","Taillon, Jameson","592791","112","655","2533",-5.42796412195063,8.331687382653891,9.987823294977762,-17.830532881613657,-5.9169419179686065
"2023","Urquidy, José","664353","117","275","1096",-5.721474281820478,1.7811193179617029,6.1368034309609865,-10.209899177504106,-3.429497853239068
"2023","Singer, Brady","663903","118","702","2612",-8.517649191570104,-3.534582776641176,18.670038899354697,-13.114888693302005,-10.538216620981542
"2023","Germán, Domingo","593334","147","444","1653",6.091023294798395,4.379497661815552,10.016584478155801,-3.3144649617432362,-4.990593883429737
"2023","Harris, Hogan","663687","133","284","1109",-10.744284380948663,6.204030785721608,-4.801785021026046,-8.558083133514181,-3.5884470121300898
"2023","Sánchez, Cristopher","650911","143","396","1460",7.986406843849081,-1.280022188097451,16.706342464725598,-2.7934359509381714,-4.646477481840955
"2023","Musgrove, Joe","605397","135","398","1550",11.08432659981212,4.605481045598486,20.923856712054366,-7.504444537094561,-6.9405666207461785
"2023","Rogers, Tyler","643511","137","307","1124",8.671697216306184,7.644990189429086,16.53031170709264,-12.123006319050495,-3.3805983611650365
"2023","Liberatore, Matthew","669461","138","274","1059",-6.324257554216069,2.3566344354975497,6.995571459301468,-9.540818637788433,-6.135644811226679
"2023","Eflin, Zach","621107","139","702","2577",23.91037130159671,4.506082627373824,29.387232942151805,-3.729002231979809,-6.253942035949102
"2023","Dunning, Dane","641540","140","722","2696",10.38737298761265,8.972597147024727,27.166979335041617,-13.521333339766459,-12.23087015468724
"2023","Kelly, Merrill","518876","109","721","2803",15.858117652764195,5.641478997175478,35.84439945142021,-17.040966304007345,-8.586794491824076
"2023","Davies, Zach","605200","109","377","1498",-15.05469460211469,0.8870498491284012,3.7014372818012804,-13.525449715586015,-6.117732017458365
"2023","Sale, Chris","519242","111","424","1670",4.6838886924068746,-2.317438994363913,19.206968769955406,-5.262294475742629,-6.943346607441937
"2023","Ashcraft, Graham","668933","113","623","2324",-8.369070399300398,5.7388583331073,16.09465179931966,-17.468915806829894,-12.733664724897459
"2023","Kershaw, Clayton","477132","119","523","2026",18.006076455467632,16.81100598317289,17.53821859537021,-9.590003359110872,-6.753144763964579
"2023","Hamilton, Ian","641656","147","238","979",12.6480622651919,7.799313700876553,14.159092568036911,-3.7481355194848094,-5.562208484236749
"2023","Erceg, Lucas","668674","133","250","1053",0.23132221208346043,3.13474590250089,11.95674143996837,-8.471625035856004,-6.388540094529775
"2023","Thompson, Zack","668868","138","286","1168",0.7882944303575087,3.3236843180962303,10.529607957279861,-8.64945023800478,-4.415547607013786
"2023","Pfaadt, Brandon","694297","109","421","1612",-19.21210041365884,-3.877183226837385,-0.937305491386146,-9.935648812832524,-4.46196288260281
"2023","Alzolay, Adbert","640470","112","253","962",10.93177099344521,8.160473413571305,12.392305180894986,-5.670845133008402,-3.9501624680126852
"2023","Farmer, Buck","571656","113","309","1222",3.8603576064826473,3.249199716865821,14.444500931726024,-6.247378876101602,-7.585964166007578
"2023","Law, Derek","571882","113","240","959",0.34795837448310907,8.211872669055495,2.1325206438829065,-6.253142109478354,-3.7432928289769407
"2023","Marsh, Alec","679525","118","342","1342",-17.805225598200867,-5.331158551662549,5.855751268048839,-10.493052529391042,-7.836765785196105
