player_name_final,pitch_hand,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,xera,ball_angle,runs_heart,runs_shadow,runs_chase,runs_waste,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_st,n_sv,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,st_avg_spin,sv_avg_spin,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,st_avg_speed,sv_avg_speed,gb_rate,air_rate,pull_rate,straight_rate,oppo_rate
Adam Wainwright,R,-1.7321248998920578,-1.7506747688912485,-1.7440358076588196,-1.7494730115166481,-1.693698223487218,-1.6892959933656901,-1.5818422885396377,0.056840189659235915,-1.726049022707319,-0.014151920953459672,-1.7221653969311126,-1.6491771629888887,-1.7321248998920578,0.5985879695340529,-3.076239324660075,-1.5269078852524431,-1.7952865808172744,-0.4070244602459556,-1.2195532435532341,0.9374346870760436,1.2158809148878305,-1.0126301950502847,-0.4714030104165521,2.2313234562412285,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,-0.0935814715354102,0.5329396224388707,1.0268878142912368,0.6437407375453298,0.46022761568946324,0.9631511015921771,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,-0.28003110096571765,0.38968124987617286,0.9409744502090442,0.3359019752186643,0.5035892839058347,0.6618877342715548,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,-0.2098177729391171,0.20999094366960083,0.560148790675553,1.2975090462866827,-1.8206226194195496
Zack Greinke,R,-1.0997875193702913,-1.6037411235515902,-1.4124022107345728,-1.0097112465614204,-0.11782347285053263,-1.4184117450210465,0.1668304113083012,0.056840189659235915,-1.4339673856146604,1.8667578736065507,-1.6863989546531388,-0.3479012207664411,-1.0997875193702913,0.4657357398243444,-0.5423420978227442,0.6421833188504671,-0.9636098048439943,-0.5241343637176763,-0.27302212954294514,-0.0032126619815401364,-0.07135970753372653,0.23034890002531913,0.6146278602660069,0.5979450254346157,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,0.10922253896381809,0.5764004047431126,1.1262121733107116,0.649503377275765,0.5841280552662119,0.7698653962850613,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,-0.059058171391115015,0.46836080494617754,0.9943905446565297,0.4347596918716556,0.6387251830549149,0.6852158872616795,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,0.15189114723282168,-0.1517220389364486,-0.8070499328474784,0.2584496971118514,0.7260869939460626
Justin Verlander,R,-0.03225323578354421,-0.28501165662815525,-0.2701087102177226,-0.21816615805932654,0.30616187672552836,-1.031434247385841,0.2998815949923838,1.0559744107327929,-0.6563000268554569,0.4025986805863077,-0.4810698498854246,-0.19970034956888424,-0.03225323578354421,1.3441234233167694,0.2415347739342514,0.39695233748996844,-0.820681440861091,-0.45754795453343405,0.8622484221711922,-0.9158787291367781,-0.6489676791331431,0.3754682867600346,-0.13142812915940305,0.9138619315127811,-0.3680653760859553,-0.20070661017298885,-0.14788597107564871,0.503664945901082,0.5908110851913616,-0.9786005478237223,0.6685200883862014,0.582269548672561,1.0269596461475392,-0.45544362943372096,0.45377084216243607,-0.2050795937021701,0.19215315907264524,0.2930953133074771,-0.9843273887894544,0.6478529922125476,0.586790602205465,0.8355528731980378,-0.4677995014926006,0.3882124644060006,-0.2063864246152443,-1.2462199189927032,1.2464047297884384,0.7108890073481742,-0.7950050749596013,-0.1331111707177044
Kenley Jansen,R,0.7228319891924475,1.249220490126779,-0.2455432585937044,-0.9480644328151514,1.3204749106670772,0.4648787434702856,-0.758192103828652,-0.6117254601297611,0.7931550972168615,-0.2231418981267938,0.26883322320942427,-0.3599500720833154,0.7228319891924475,,,,,,-1.7863383417629881,-0.3842343729922069,6.067787876322932,-0.6466769589366551,-0.9435903454959255,-0.7811349670428239,-0.3680653760859553,-0.32379143855363923,-0.14788597107564871,-5.013287748702083,0.7262257332129992,1.2687210362516974,0.6427802975902577,-1.5903246593057265,-1.1775487391941633,-0.45544362943372096,1.1874858691800254,-0.2050795937021701,-5.263552170582418,0.5606058005454941,1.170895900222134,0.5638239330575054,-1.6532856554539967,-1.1914044199438942,-0.4677995014926006,1.2435872558884724,-0.2063864246152443,-1.8092913346063286,1.809482469383583,0.26994494063417324,-0.5276006887907184,0.150911104134983
Jesse Chavez,R,-0.4302538223472444,-1.1629401875326146,-0.5280459522699148,0.13691948911918259,-0.26790678243497884,0.8260577412631437,1.0411667612322708,0.9854035921439541,-0.5942326789732671,0.5759374263594847,-1.6863989546531388,-1.6491771629888887,-0.4302538223472444,-1.269158083443611,-0.2289836137584607,-0.1130152113791687,-0.0029385927937566115,0.5608913924323405,-1.7863383417629881,0.6695287965216685,3.567570513542598,-0.9306061938524023,0.32187171251679536,-0.09648532538735742,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,-5.013287748702083,0.3282164636899417,0.9223813148011808,0.599560499611993,0.7414816135286826,0.8911744163522888,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,-5.263552170582418,0.4927785978989378,1.0779983446612893,0.4951727409373724,0.6042787773894631,0.7707524482254694,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,0.10727228169523853,-0.10710267227436794,-2.192029696341455,1.3524987590787163,1.3915325803416938
Corey Kluber,R,-1.6949285833907775,-1.2731404215373585,-1.7440358076588196,-1.7494730115166481,-1.0933649851494331,-0.48966575069655405,-1.8099300319980647,-0.3517277074340401,-1.4339673856146604,0.20713158428889447,-1.3287345318734016,0.7726419517028889,-1.6949285833907775,-0.5033040533523514,-2.3748638751779274,-0.7182184286414791,0.12904898982432586,0.834593040571515,-1.6729813221210372,0.6516684038180436,1.6119549525560015,-1.0315588107113345,0.5579653800564821,1.9770250179120552,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,0.1775834413792883,0.5786878143380727,1.1633508466832108,-1.7170206720229693,0.5432409102058848,0.8903656895518406,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,-0.12883909651993714,0.42495139525238185,1.0152924946577193,-1.7401100744941473,0.5221373484949239,0.8951692641728001,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,-1.6649157427619177,1.6651052560244755,2.1960994457401535,-2.0761098335045434,-0.7505064717128325
Rich Hill,L,-1.4345543678818147,-1.420074066877017,-1.3755540332985454,-1.1206755113047047,-1.3184899495261024,-1.8440869924197723,-1.1636814255325219,-0.2031575630364852,-0.922824520702508,-0.12479367357463675,-1.543333185541244,-1.3238581774332767,-1.4345543678818147,-0.08130285309798393,-0.9527448718216819,0.06049022206316228,-1.8805244538573256,-2.55748635914576,0.14073099215017526,-0.6819075847192904,0.5640090612256317,-0.9116775781913524,-0.7358279180610011,2.749701042066082,-0.3680653760859553,-0.016079367602013464,-0.14788597107564871,0.008959882087795112,0.4929099545270689,1.0225693638990858,0.5966791797467753,0.4465985673360209,0.9356543903769389,-0.45544362943372096,1.1955504441087745,-0.2050795937021701,-0.12302401942586813,0.3679765450292746,0.9502642057651284,0.3825847858603546,0.5459848601094676,0.6696637852682629,-0.4677995014926006,0.9226306634918333,-0.2063864246152443,-0.49599476317009944,0.49617114801862855,1.459227062296354,-0.43875558142814575,-1.3375627569390043
Charlie Morton,R,-0.9658807799656819,-0.39153854949940786,-0.2848479811921335,-0.17747926098678923,-1.3447545287033802,-1.3332766955413013,-0.4109918721197132,-0.5597259095906167,0.20899182303154443,-1.1205694471652303,0.6813395241487215,-0.33344259918619146,-0.9658807799656819,-1.322298975327494,-0.8398261756420062,0.06934011391601012,-1.4898486746283195,-2.811715801527691,-0.1778022330437063,-0.17348173908943185,0.0557140462181452,-1.0315588107113345,0.02628244075710785,3.133104841393144,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,0.22543607307011743,0.5531831973542679,1.1719013784596704,-1.7170206720229693,0.8303182287052118,1.355464472489591,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,0.2165764828677322,0.5795974172865295,1.0654571746605759,-1.7401100744941473,0.6413749065676425,0.9216078375616081,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,0.35772989171340486,-0.35756309523819585,1.0872554156722665,-0.5225809612041996,-0.8220381473919209
Daniel Bard,R,-1.6205359503882166,0.857397435887689,-0.45434959739785996,-1.0097112465614204,-1.7312190508833294,0.5551734929185,-1.2397106733519976,1.6168267058335624,-0.7037632928830141,-1.7106587944781748,-1.1856687627615068,-1.6853237169395123,-1.6205359503882166,,,,,,-1.2478924984637219,1.544688038999294,-0.6489676791331431,1.8266621541071857,-0.9247028520927506,-0.7811349670428239,-0.3680653760859553,-0.6058608369259629,0.9037249113820157,0.7677658988995144,0.8966377480375266,-0.9786005478237223,0.8415913682902726,1.1875231960049777,-1.1775487391941633,-0.45544362943372096,-0.8391418104146137,5.21911923208866,0.23751076040637792,0.6040152102392894,-0.9843273887894544,0.6544435066560801,0.6890699297967293,-1.1914044199438942,-0.4677995014926006,-0.8451778692325135,5.119261763669373,-0.8115549701172753,0.8117348990933546,-0.30120030347544663,1.3155525457965698,-0.8160578610972714
Max Scherzer,R,-0.6853142783560241,-0.029452066340963635,-1.212369247510424,-1.538112507243726,0.9381198124400358,-0.9319257479939314,-1.5818422885396377,0.6670389970063365,0.31852243694129084,1.0132357819574704,-0.33749313159812994,-0.15684086417028786,-0.6853142783560241,-0.4184572511848063,-1.1046017810269995,-0.15633793774483012,-0.28494174130409095,0.7110679929309577,0.9447561386105836,-0.9319530825700406,-0.3919910713603414,0.4016078036252936,0.3798832993979755,0.38975564460468837,-0.3680653760859553,-0.6058608369259629,-0.14788597107564871,0.4249848025019431,-1.945468673700398,1.157798553321874,0.5774703806453251,0.08817229570328386,1.0004680668128576,-0.45544362943372096,-0.8391418104146137,-0.2050795937021701,0.1801907147648459,-1.967992314118112,1.0627366033905796,0.620706349385615,0.5921657556169969,0.7918588723593916,-0.4677995014926006,-0.8451778692325135,-0.2063864246152443,-1.9617053558059958,1.9618982023793508,0.3685952931902099,-0.8975870548398168,0.3639739315949535
