player_name_final,position,side,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,sprint_speed,total_runs,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,runs_heart,runs_shadow,runs_chase,runs_waste,avg_bat_speed,swing_tilt,attack_angle,attack_direction,arm_strength_z
Miguel Cabrera,DH,R,-0.9737396627717707,-0.31118876691895064,-1.094740162734867,-1.2233242437584548,-0.41647861667596264,-1.3587642028006133,-1.283686477879189,-0.06524994048246874,0.3519153907124706,-0.6444961211037749,0.4585951264139528,0.03227970924263573,-0.0861806051585921,-0.014273133128071202,-1.7398833670394662,-0.07415117536189865,1.1711030272404108,-1.171023539974579,-1.623728144830236,1.3050647121770278,-0.9537611598442054,-0.5626082637011831,0.6967363710624668,0.21887447028190407,-0.7124096681309096,0.12367408850500555,-0.24505932845565098,-1.3356602754406686,-1.5161569016701895,-0.016799095672599174,-1.2967297088744463,1.8920591356134382,0.00808047382996638
David Peralta,LF,L,-0.5717537008306169,1.4342846057866816,-0.29857202660819826,-0.9733195574547552,-0.4897010362298337,-0.9928205280395956,-1.0715715314298355,0.1518326017749436,0.3519153907124706,0.776756050675521,1.1577472738179682,-1.5816056855903677,0.5810965719530207,-1.108114213429031,-0.3891496494415445,-0.309123640912139,1.058286906180147,-1.0582109720152506,-0.9642685803973953,0.47840101402674845,-1.1889031841973356,-0.09166361486272137,-0.2253230052026238,0.33310355588991925,-1.0198148718652706,0.9961919588148573,-1.0938243183186633,-0.7685689169104107,0.12973151828157456,-0.20508441428766117,-1.6593523112971973,-0.03952837808153955,-0.5820266304946156
Charlie Blackmon,DH,L,-0.032727070045888026,0.4687035910984592,-0.6061824428389567,-0.9286758634719517,0.7093160839648048,-0.7366599557068835,-0.9389996898989897,-1.5305571007200018,-1.477574790525444,-1.4371175245960746,1.149007871975418,0.38195487812311957,1.1430141947838524,-0.1995204128564598,0.03739784032621995,-0.07415117536189865,-0.838049348407369,0.8380655581813222,-0.00125694862680901,0.9771481592428036,1.153560373553479,1.1683806810933433,-0.7950610712204133,-1.026434955194506,-0.7364230721721133,1.713775725524114,0.33934425680668395,-0.0801913222862264,-1.3560735145970901,-0.2928228831393076,-0.15399613037001655,-0.8670955578599829,0.872152461407177
Martín Maldonado,C,R,-1.5949906948626449,-1.6481470949487966,-1.1671190842009278,0.026699187760042997,-1.6246485393148349,-0.6634712207546798,0.1304131651165011,-0.4994150249972934,-0.7457787180302781,-0.061418307040474,-1.6039037084278924,-0.39808972937949855,-1.4558548108087446,-0.8964030365965872,-1.7398833670394662,-2.422592580202453,-0.5551898624522983,0.5552149807784575,0.947462364210184,-1.2989205236084809,0.7621379020027464,1.2371787861544485,-1.716132891965164,-0.3195855230001838,-0.08407261955193472,-1.6385821324139047,-1.0032296394186666,-1.3588718798070158,-0.035604440734147036,-0.23542088595704053,2.133599063025879,-0.7257332636854759,0.8852778457651495
Donovan Solano,1B,R,1.2554552170837183,1.6199732624574936,0.17189096292119682,-0.5090251400335989,1.6337491308324268,-0.8098486906590868,-0.718046620680913,0.8030802285471805,-0.4713551908445909,0.6674289605386521,0.03910383797154361,0.2833285484388807,-0.0861806051585921,-0.3671250945154776,-1.4199727497136427,-0.6283636000510429,-0.19805850519285664,0.19809487123563108,-0.6914826360525411,3.0960206804272707,-1.1479493265905942,-0.8276005592658731,2.0613854120409503,-0.5877388848559305,0.8636978637602234,-0.9164872839883391,-0.40916631546092413,0.39855810336044145,-1.5545518300410712,1.3444121334448587,-0.4907455839537309,0.3378394037916715,-1.2127549113194898
Andrew McCutchen,DH,R,0.7109469595452473,0.045333453889008585,0.07417941894201517,0.03741367431591599,1.1468200407991849,0.2806634601287459,0.24000588744866738,-0.10504840656299412,-0.40274930904816847,-0.10150490675732572,-0.15665876330158046,1.4704309166382685,-0.5357147034232574,1.5982603304123766,-0.26473996492594626,-0.07415117536189865,-0.023662427339796607,0.023704285920884815,0.22419570673266975,-0.6990754315231434,0.2941545462605316,1.0104768147148968,-0.34890420492662816,-1.1849716974796118,-0.5435925553072599,-0.8056218106706586,0.9238126275318095,0.5635949338584394,-0.05127697575028989,0.4436423848935414,1.1467878315275504,0.24877213338834667,0.00808047382996638
Justin Turner,DH,R,0.7712448538364195,0.542979053766784,0.03618048517233285,-0.27687793132302074,1.3683178599496437,-0.6817684044927307,-1.0450571631236663,-0.7255426731820979,-1.7062610631801831,-0.9815879823591207,0.9392622277542133,0.8750865265443154,1.4766527833396583,0.7884650790282783,-1.4555183738609563,-0.07415117536189865,-1.3972058309531044,1.397204430305762,0.8997655540240571,1.8159121094693496,-0.08234169150358306,-0.0759860285553909,-0.03256636191803213,0.14079313905314456,-1.5607224723301263,1.1806311298169272,1.3400162437196161,0.8045593763329446,-2.6784189496992146,0.6287695202789041,-0.15723660657830707,0.25285429299983503,-1.5018387066975565
Elvis Andrus,2B,R,-1.5584465165043582,-0.9425301995997113,-1.565203152264262,-1.5804737956208827,-1.4049812806532218,-1.5051416727050202,-1.5311539154034348,-1.0059409569312554,-0.7000414634993302,-1.373343388682901,1.0528744517073658,-0.9719156475423443,1.0025347890761445,0.12686765142689135,-0.7090602667673681,0.6162473606023655,2.11665608254946,-2.1165468154488574,-1.2967185374818904,-1.664624794347627,-1.0771036318036018,-0.008112579061273982,0.34078268899158737,-0.28704531660468946,-1.2711615239935277,0.2626762792128827,-0.8659049658207354,-0.22502909190394096,0.08993015601048564,0.0514793395726681,-0.1336329846859522,0.04179915445082104,-1.2127549113194898
Carlos Santana,1B,S,-0.5717537008306167,-0.9128200145323812,-0.7075129328914416,-0.5018821489963502,0.011872537714183142,-0.4512238893932895,-0.7321876171108699,-0.6043382537550425,0.9236310723493195,-0.5716113943458621,0.7417517461125793,1.1512402496601855,0.19126622111413127,0.9137275253208079,-1.2813448155391192,1.137590932663241,-0.3479834860531504,0.3480151302655309,0.03396708411270916,-0.822913092904626,1.617380286429615,1.9066830348424864,-1.0227536066654992,-1.9161850557057372,-1.2749947180257928,-0.15549195008947775,0.784219885078451,0.7314184522720504,-0.1612654862225647,-1.706174415016374,0.7639166646017015,-1.0390835798477267,-0.722188470677921
Brandon Belt,DH,L,0.5611158282762709,-1.5738716322804718,0.35283826658634876,1.2767226192785408,0.6452464668551676,0.3611710685761694,1.5445128081121913,-0.3185129064494498,-0.3798806817826952,-0.061418307040474,-1.6388613157980931,1.7537574637311728,-1.2802555536741096,1.6441310853927387,-1.0289708840931917,-0.07415117536189865,-1.7578128622047309,1.7578001043757403,2.406193454828636,-0.042318474045932544,-0.38985692875332456,0.36380888887773566,-1.3127417970577218,0.6152946067423551,1.343405967307735,-0.6312652969965415,1.107314532550772,0.0586253284182573,0.35116047288265795,4.022566313399637,1.9552082326865814,2.1748224017513804,-1.5281190517319265
